transcript_BGM_M len_BGM_M n_var_BGM_M
TRINITY_DN30718_c1_g2_i3 1174 33
TRINITY_DN30726_c0_g1_i5 1978 3
TRINITY_DN307311_c0_g1_i8 430 18
TRINITY_DN3073_c0_g1_i9 3415 5
TRINITY_DN30740_c1_g2_i1 403 1
TRINITY_DN307516_c0_g1_i1 571 1
TRINITY_DN3075_c1_g1_i11 1252 4
TRINITY_DN307690_c0_g1_i1 304 8
TRINITY_DN3079_c0_g1_i7 3151 50
TRINITY_DN307_c0_g1_i12 1231 1
TRINITY_DN307_c3_g1_i1 1684 6
TRINITY_DN30802_c0_g1_i6 1021 3
TRINITY_DN30807_c1_g1_i1 367 7
TRINITY_DN30820_c0_g1_i12 1102 1
TRINITY_DN3082_c0_g1_i1 1471 26
TRINITY_DN3082_c1_g1_i10 1552 54
TRINITY_DN3083_c0_g2_i14 9673 4
TRINITY_DN3084_c0_g3_i3 508 3
TRINITY_DN308505_c0_g2_i2 325 2
TRINITY_DN3085_c1_g1_i4 2278 102
TRINITY_DN3086_c0_g1_i7 1687 5
TRINITY_DN30887_c0_g1_i1 691 1
TRINITY_DN308_c1_g1_i1 1075 1
TRINITY_DN30905_c0_g1_i6 1024 1
TRINITY_DN30907_c0_g3_i2 1018 5
TRINITY_DN30907_c1_g1_i2 967 1
TRINITY_DN30909_c0_g1_i6 2056 6
TRINITY_DN30909_c1_g1_i1 1048 2
TRINITY_DN30921_c0_g7_i1 2785 12
TRINITY_DN309259_c0_g1_i2 358 9
TRINITY_DN3092_c0_g1_i1 1876 32
TRINITY_DN3092_c0_g2_i4 2278 46
TRINITY_DN309412_c0_g1_i1 3475 1
TRINITY_DN3094_c0_g1_i8 3022 13
TRINITY_DN30959_c0_g1_i5 1729 2
TRINITY_DN3095_c0_g1_i3 2323 38
TRINITY_DN30962_c0_g1_i5 376 2
TRINITY_DN3098_c1_g1_i4 1462 68
TRINITY_DN309_c0_g1_i7 1957 8
TRINITY_DN309_c1_g1_i8 940 34
TRINITY_DN3100_c0_g1_i13 919 1
TRINITY_DN3101_c0_g1_i9 1285 1
TRINITY_DN31032_c1_g1_i1 376 7
TRINITY_DN31049_c1_g3_i2 307 2
TRINITY_DN31054_c0_g1_i5 628 3
TRINITY_DN31074_c0_g1_i4 352 15
TRINITY_DN3107_c0_g1_i6 1825 30
TRINITY_DN31083_c0_g1_i7 1429 3
TRINITY_DN310_c2_g2_i1 949 2
TRINITY_DN31102_c0_g1_i2 3499 37
TRINITY_DN31102_c1_g1_i1 376 3
TRINITY_DN311115_c0_g1_i1 367 13
TRINITY_DN31113_c0_g1_i2 3349 1
TRINITY_DN3111_c0_g1_i3 2509 46
TRINITY_DN31121_c0_g1_i1 328 10
TRINITY_DN311258_c0_g1_i1 325 10
TRINITY_DN31135_c0_g1_i1 940 9
TRINITY_DN3113_c1_g1_i5 2704 110
TRINITY_DN3113_c20_g1_i3 595 2
TRINITY_DN3113_c2_g1_i3 2011 117
TRINITY_DN31141_c0_g1_i4 388 12
TRINITY_DN3115_c0_g1_i1 1699 30
TRINITY_DN3115_c2_g1_i1 757 1
TRINITY_DN3117_c0_g1_i7 2203 58
TRINITY_DN31197_c0_g2_i1 829 4
TRINITY_DN3119_c0_g1_i6 523 1
TRINITY_DN311_c4_g1_i1 847 1
TRINITY_DN31203_c0_g1_i2 310 2
TRINITY_DN3121_c1_g1_i8 3190 2
TRINITY_DN3121_c1_g2_i1 1216 1
TRINITY_DN31226_c0_g1_i2 478 2
TRINITY_DN31226_c1_g2_i1 469 1
TRINITY_DN3122_c0_g2_i6 1054 3
TRINITY_DN3122_c0_g3_i4 2725 1
TRINITY_DN312358_c0_g2_i1 325 1
TRINITY_DN3123_c0_g1_i5 889 4
TRINITY_DN312404_c0_g1_i1 409 6
TRINITY_DN31249_c0_g3_i1 1228 3
TRINITY_DN3124_c0_g2_i2 511 2
TRINITY_DN312531_c0_g1_i1 313 1
TRINITY_DN31272_c0_g2_i2 697 5
TRINITY_DN3127_c1_g1_i4 1000 5
TRINITY_DN3127_c4_g1_i1 1309 2
TRINITY_DN3128_c0_g2_i1 2191 4
TRINITY_DN31298_c0_g5_i1 508 1
TRINITY_DN3130_c0_g2_i2 499 10
TRINITY_DN31318_c1_g1_i9 1204 1
TRINITY_DN3131_c0_g1_i3 649 7
TRINITY_DN313208_c0_g1_i1 601 5
TRINITY_DN31320_c0_g1_i3 406 13
TRINITY_DN3133_c0_g1_i12 2812 2
TRINITY_DN31346_c0_g1_i2 940 6
TRINITY_DN3135_c0_g1_i7 796 14
TRINITY_DN3136_c0_g1_i2 1519 7
TRINITY_DN31397_c1_g1_i1 313 1
TRINITY_DN313_c0_g1_i4 325 1
TRINITY_DN313_c1_g3_i1 1402 2
TRINITY_DN31400_c0_g1_i6 355 16
TRINITY_DN3140_c0_g1_i7 583 8
TRINITY_DN3141_c0_g1_i1 1096 2
TRINITY_DN3141_c0_g5_i1 1096 1
TRINITY_DN31424_c0_g1_i1 376 14
TRINITY_DN31425_c0_g1_i2 337 12
TRINITY_DN31430_c0_g1_i4 4117 46
TRINITY_DN3144_c0_g1_i5 676 24
TRINITY_DN3144_c2_g1_i3 1852 5
TRINITY_DN3145_c0_g1_i8 967 33
TRINITY_DN3145_c1_g1_i10 2503 71
TRINITY_DN3146_c0_g1_i3 1237 63
TRINITY_DN3146_c1_g1_i1 1189 2
TRINITY_DN31478_c0_g1_i1 1060 13
TRINITY_DN3147_c1_g1_i3 319 5
TRINITY_DN31480_c0_g1_i4 412 19
TRINITY_DN31480_c1_g1_i1 346 4
TRINITY_DN31489_c3_g1_i1 388 3
TRINITY_DN3148_c0_g1_i3 583 1
TRINITY_DN31499_c0_g1_i1 1483 1
TRINITY_DN3149_c0_g2_i1 823 1
TRINITY_DN3149_c2_g1_i6 520 5
TRINITY_DN314_c1_g1_i2 2602 4
TRINITY_DN314_c1_g2_i2 1855 10
TRINITY_DN314_c1_g3_i2 1972 6
TRINITY_DN314_c1_g4_i1 652 1
TRINITY_DN31508_c0_g1_i3 4315 9
TRINITY_DN3150_c1_g1_i8 3175 14
TRINITY_DN31512_c0_g1_i6 379 8
TRINITY_DN31517_c0_g1_i4 370 2
TRINITY_DN3151_c0_g1_i8 1168 1
TRINITY_DN3152_c2_g3_i1 373 11
TRINITY_DN3152_c2_g4_i3 2410 1
TRINITY_DN31537_c0_g1_i2 10750 2
TRINITY_DN31537_c1_g3_i1 1519 4
TRINITY_DN3153_c1_g1_i4 1594 1
TRINITY_DN31543_c0_g1_i1 328 6
TRINITY_DN3155_c0_g1_i5 2179 1
TRINITY_DN31567_c0_g1_i1 2794 3
TRINITY_DN3156_c0_g1_i17 1708 1
TRINITY_DN31579_c0_g1_i1 1045 3
TRINITY_DN31584_c0_g1_i1 1900 4
TRINITY_DN31592_c0_g2_i2 370 17
TRINITY_DN315977_c0_g1_i1 301 8
TRINITY_DN3159_c0_g1_i10 1216 4
TRINITY_DN31603_c0_g1_i8 1204 1
TRINITY_DN3160_c0_g1_i3 6373 14
TRINITY_DN3161_c0_g1_i7 850 1
TRINITY_DN3161_c1_g1_i3 2749 13
TRINITY_DN31622_c0_g1_i11 421 2
TRINITY_DN31627_c0_g1_i5 1402 9
TRINITY_DN3162_c0_g3_i2 424 1
TRINITY_DN31636_c0_g1_i2 583 9
TRINITY_DN3163_c0_g1_i40 6037 4
TRINITY_DN31645_c0_g3_i2 1099 1
TRINITY_DN31656_c0_g1_i2 1018 6
TRINITY_DN3165_c0_g1_i1 988 1
TRINITY_DN3165_c1_g1_i2 1810 7
TRINITY_DN31660_c1_g1_i3 466 15
TRINITY_DN3166_c0_g1_i15 3799 10
TRINITY_DN31670_c0_g1_i2 778 5
TRINITY_DN31685_c0_g1_i2 1201 3
TRINITY_DN3168_c1_g1_i5 691 1
TRINITY_DN31706_c1_g1_i11 2152 16
TRINITY_DN3170_c0_g1_i5 2434 2
TRINITY_DN317169_c0_g1_i2 3235 20
TRINITY_DN3172_c0_g1_i7 1072 3
TRINITY_DN31754_c0_g1_i1 361 18
TRINITY_DN3176_c0_g1_i4 397 12
TRINITY_DN3176_c1_g1_i1 697 5
TRINITY_DN3178_c0_g1_i11 343 1
TRINITY_DN3179_c0_g1_i13 436 8
TRINITY_DN317_c1_g1_i2 601 1
TRINITY_DN317_c39_g1_i1 388 3
TRINITY_DN317_c3_g1_i1 976 5
TRINITY_DN3181_c1_g1_i7 2089 4
TRINITY_DN3182_c0_g1_i3 1159 1
TRINITY_DN318309_c0_g1_i2 334 9
TRINITY_DN3183_c0_g1_i2 1738 12
TRINITY_DN31845_c0_g1_i1 1966 2
TRINITY_DN3184_c1_g2_i7 1462 2
TRINITY_DN31868_c0_g1_i11 1105 12
TRINITY_DN31872_c0_g1_i3 496 4
TRINITY_DN3187_c0_g2_i8 460 1
TRINITY_DN31889_c0_g1_i4 1501 23
TRINITY_DN3188_c0_g1_i5 301 4
TRINITY_DN31896_c0_g3_i3 472 2
TRINITY_DN3189_c1_g1_i1 331 1
TRINITY_DN318_c4_g1_i5 1534 8
TRINITY_DN3190_c0_g1_i3 874 31
TRINITY_DN31930_c0_g3_i4 3598 5
TRINITY_DN31930_c1_g1_i1 325 2
TRINITY_DN31935_c0_g1_i5 1570 1
TRINITY_DN31937_c0_g1_i1 403 4
TRINITY_DN31946_c0_g1_i4 328 2
TRINITY_DN3194_c0_g1_i3 733 2
TRINITY_DN31961_c0_g1_i2 361 12
TRINITY_DN3196_c0_g1_i3 4009 3
TRINITY_DN31990_c0_g1_i17 412 1
TRINITY_DN319_c0_g3_i1 1624 8
TRINITY_DN319_c1_g1_i1 2419 3
TRINITY_DN319_c2_g2_i1 2332 3
TRINITY_DN319_c5_g2_i1 4600 2
TRINITY_DN319_c8_g1_i1 2617 4
TRINITY_DN319_c8_g2_i1 343 4
TRINITY_DN3200_c0_g2_i1 634 2
TRINITY_DN3200_c1_g1_i11 1675 1
TRINITY_DN3202_c0_g1_i10 4462 1
TRINITY_DN3203_c0_g1_i13 394 1
TRINITY_DN3203_c0_g2_i2 697 20
TRINITY_DN32040_c0_g1_i7 502 1
TRINITY_DN3204_c0_g1_i3 3748 13
TRINITY_DN3204_c0_g2_i1 358 1
TRINITY_DN320514_c0_g1_i2 493 2
TRINITY_DN32052_c0_g1_i1 553 13
TRINITY_DN3205_c1_g1_i6 2962 1
TRINITY_DN3205_c2_g1_i1 1198 1
TRINITY_DN3205_c5_g2_i1 1348 1
TRINITY_DN32074_c0_g1_i3 706 1
TRINITY_DN3207_c0_g2_i6 1987 1
TRINITY_DN32080_c0_g1_i1 334 2
TRINITY_DN3208_c1_g1_i5 442 5
TRINITY_DN3208_c1_g3_i4 739 9
TRINITY_DN32090_c0_g1_i7 1606 64
TRINITY_DN3209_c0_g1_i3 493 4
TRINITY_DN3210_c0_g1_i3 1216 5
TRINITY_DN3211_c0_g1_i3 1558 4
TRINITY_DN3211_c0_g3_i4 1465 1
TRINITY_DN3213_c0_g1_i22 3718 4
TRINITY_DN3213_c0_g2_i2 3643 10
TRINITY_DN3213_c0_g3_i1 3628 3
TRINITY_DN3213_c1_g1_i1 913 2
TRINITY_DN3213_c2_g1_i6 784 2
TRINITY_DN32140_c0_g1_i2 304 11
TRINITY_DN3215_c0_g1_i1 670 1
TRINITY_DN3215_c1_g2_i5 2407 40
TRINITY_DN3215_c4_g1_i1 1657 5
TRINITY_DN32165_c0_g1_i2 3976 10
TRINITY_DN3216_c0_g1_i7 4639 4
TRINITY_DN32188_c0_g1_i11 754 21
TRINITY_DN3218_c0_g2_i2 1723 3
TRINITY_DN3218_c1_g1_i4 1141 1
TRINITY_DN32190_c0_g1_i8 643 5
TRINITY_DN3219_c0_g1_i3 913 21
TRINITY_DN3219_c0_g2_i1 373 2
TRINITY_DN321_c3_g1_i14 1810 54
TRINITY_DN321_c42_g1_i1 1645 1
TRINITY_DN321_c5_g1_i17 610 8
TRINITY_DN321_c7_g1_i8 2329 89
TRINITY_DN322107_c0_g1_i1 307 12
TRINITY_DN32214_c0_g1_i13 4507 9
TRINITY_DN32223_c0_g1_i8 1249 2
TRINITY_DN32225_c0_g1_i9 484 12
TRINITY_DN3225_c0_g3_i1 1528 1
TRINITY_DN32260_c0_g1_i1 301 3
TRINITY_DN32272_c0_g1_i1 331 1
TRINITY_DN32281_c0_g1_i5 1774 17
TRINITY_DN322_c0_g1_i2 364 5
TRINITY_DN322_c0_g2_i1 676 9
TRINITY_DN322_c0_g3_i3 439 6
TRINITY_DN323001_c0_g1_i2 325 9
TRINITY_DN32314_c0_g1_i3 325 16
TRINITY_DN3231_c3_g1_i1 967 2
TRINITY_DN3232_c0_g1_i6 1846 1
TRINITY_DN3233_c0_g2_i16 2710 2
TRINITY_DN3234_c0_g1_i3 385 3
TRINITY_DN32355_c0_g1_i6 421 16
TRINITY_DN3237_c0_g1_i1 859 1
TRINITY_DN3237_c1_g1_i6 1015 19
TRINITY_DN3238_c1_g1_i2 1813 1
TRINITY_DN3238_c2_g1_i7 346 1
TRINITY_DN32390_c0_g2_i1 370 1
TRINITY_DN3239_c0_g1_i4 5128 5
TRINITY_DN323_c0_g2_i2 2179 1
TRINITY_DN323_c1_g1_i2 2707 1
TRINITY_DN323_c2_g1_i4 1486 1
TRINITY_DN3241_c3_g1_i3 1297 1
TRINITY_DN32423_c0_g1_i2 505 1
TRINITY_DN324255_c0_g1_i1 397 2
TRINITY_DN32426_c0_g1_i1 364 2
TRINITY_DN3242_c0_g1_i3 826 17
TRINITY_DN3242_c1_g1_i1 805 6
TRINITY_DN32442_c0_g1_i1 346 8
TRINITY_DN3245_c0_g1_i12 2437 1
TRINITY_DN32466_c0_g1_i10 970 3
TRINITY_DN32466_c0_g3_i2 427 2
TRINITY_DN3248_c0_g1_i2 2680 1
TRINITY_DN3249_c0_g2_i1 643 2
TRINITY_DN324_c0_g1_i3 4507 30
TRINITY_DN32507_c0_g4_i2 2209 3
TRINITY_DN3250_c0_g1_i8 418 15
TRINITY_DN32510_c0_g1_i8 1771 2
TRINITY_DN32513_c1_g1_i9 763 6
TRINITY_DN325202_c0_g1_i2 382 2
TRINITY_DN3253_c1_g1_i4 2239 2
TRINITY_DN3253_c2_g1_i1 994 29
TRINITY_DN3253_c2_g2_i1 1618 22
TRINITY_DN3254_c0_g1_i4 1087 4
TRINITY_DN32552_c0_g2_i1 310 9
TRINITY_DN32558_c0_g1_i2 739 2
TRINITY_DN3256_c1_g1_i2 643 4
TRINITY_DN3256_c2_g1_i6 2062 2
TRINITY_DN3257_c0_g2_i3 1849 10
TRINITY_DN3259_c0_g1_i2 1951 35
TRINITY_DN325_c0_g1_i10 796 2
TRINITY_DN325_c2_g1_i2 868 2
TRINITY_DN325_c2_g3_i1 1102 1
TRINITY_DN32603_c0_g1_i1 1366 4
TRINITY_DN32613_c0_g1_i3 355 1
TRINITY_DN3262_c1_g2_i5 1096 48
TRINITY_DN3263_c0_g1_i1 2488 1
TRINITY_DN3263_c0_g2_i9 1825 6
TRINITY_DN32641_c0_g1_i1 727 2
TRINITY_DN3264_c0_g1_i3 1213 1
TRINITY_DN3264_c1_g1_i3 1903 1
TRINITY_DN3265_c1_g1_i1 2302 2
TRINITY_DN32667_c0_g1_i3 301 6
TRINITY_DN3266_c0_g1_i13 943 4
TRINITY_DN3266_c1_g1_i3 1240 30
TRINITY_DN326702_c0_g1_i1 412 2
TRINITY_DN32675_c0_g1_i1 1585 10
TRINITY_DN32684_c0_g1_i1 469 15
TRINITY_DN32689_c0_g1_i4 847 35
TRINITY_DN326_c0_g1_i3 2962 29
TRINITY_DN326_c0_g2_i1 2413 2
TRINITY_DN32712_c0_g1_i7 1948 65
TRINITY_DN32716_c0_g4_i1 337 1
TRINITY_DN327174_c0_g3_i1 2389 5
TRINITY_DN32718_c0_g1_i8 1216 39
TRINITY_DN3271_c0_g1_i4 4375 37
TRINITY_DN32721_c0_g1_i4 1288 1
TRINITY_DN32724_c0_g1_i4 847 23
TRINITY_DN32728_c0_g1_i3 1267 2
TRINITY_DN3272_c0_g1_i4 892 37
TRINITY_DN32733_c0_g2_i2 769 1
TRINITY_DN3273_c1_g1_i20 3220 6
TRINITY_DN32746_c1_g1_i3 2533 1
TRINITY_DN3274_c0_g1_i5 445 1
TRINITY_DN32752_c0_g3_i1 310 8
TRINITY_DN32754_c0_g1_i3 2650 30
TRINITY_DN3276_c1_g1_i2 6190 4
TRINITY_DN32786_c0_g1_i17 1654 5
TRINITY_DN32792_c0_g1_i5 2866 7
TRINITY_DN3279_c0_g1_i12 592 1
TRINITY_DN327_c0_g1_i3 925 3
TRINITY_DN327_c0_g4_i1 745 5
TRINITY_DN32817_c0_g3_i1 328 1
TRINITY_DN32822_c0_g1_i1 835 10
TRINITY_DN32825_c0_g1_i4 568 7
TRINITY_DN32828_c0_g1_i2 298 8
TRINITY_DN3282_c0_g4_i2 490 1
TRINITY_DN328435_c0_g3_i1 451 8
TRINITY_DN32845_c0_g2_i1 1309 2
TRINITY_DN3284_c0_g1_i1 1348 1
TRINITY_DN3285_c3_g1_i12 1228 28
TRINITY_DN32861_c0_g1_i4 769 1
TRINITY_DN32866_c0_g1_i3 448 2
TRINITY_DN32866_c1_g1_i7 2170 34
TRINITY_DN3286_c0_g1_i1 529 11
TRINITY_DN3286_c0_g2_i2 301 13
TRINITY_DN3287_c0_g3_i5 718 1
TRINITY_DN32898_c1_g1_i1 400 3
TRINITY_DN3289_c0_g1_i23 1960 2
TRINITY_DN328_c0_g1_i8 4417 3
TRINITY_DN32909_c0_g1_i4 751 1
TRINITY_DN3291_c1_g2_i1 616 3
TRINITY_DN3294_c0_g3_i2 2674 4
TRINITY_DN32950_c0_g1_i8 730 1
TRINITY_DN32974_c0_g1_i5 424 16
TRINITY_DN3297_c0_g2_i2 1840 4
TRINITY_DN3298_c1_g2_i11 964 18
TRINITY_DN329_c0_g1_i8 2317 3
TRINITY_DN32_c0_g1_i1 460 6
TRINITY_DN32_c1_g2_i2 511 6
TRINITY_DN33000_c0_g1_i1 394 3
TRINITY_DN33001_c0_g1_i8 694 16
TRINITY_DN3300_c0_g2_i1 4672 3
TRINITY_DN3301_c1_g1_i2 430 1
TRINITY_DN33034_c0_g2_i2 298 8
TRINITY_DN33039_c0_g1_i1 700 1
TRINITY_DN33041_c0_g1_i2 3652 23
TRINITY_DN3304_c0_g1_i5 592 26
TRINITY_DN3305_c0_g1_i9 1078 36
TRINITY_DN3305_c1_g1_i4 2092 69
TRINITY_DN3306_c1_g1_i8 649 2
TRINITY_DN33076_c0_g2_i4 616 1
TRINITY_DN33084_c0_g1_i4 1933 1
TRINITY_DN330897_c0_g1_i1 730 4
TRINITY_DN3309_c0_g1_i10 334 24
TRINITY_DN3309_c0_g3_i1 397 16
TRINITY_DN3309_c0_g4_i1 340 4
TRINITY_DN3309_c2_g1_i2 316 12
TRINITY_DN331039_c0_g3_i6 1273 3
TRINITY_DN3310_c0_g1_i4 3958 3
TRINITY_DN3310_c2_g2_i5 505 12
TRINITY_DN3310_c5_g1_i1 406 1
TRINITY_DN3311_c1_g2_i3 517 28
TRINITY_DN3312_c0_g1_i4 1999 4
TRINITY_DN3312_c2_g1_i1 1852 16
TRINITY_DN3313_c0_g1_i3 1534 21
TRINITY_DN3314_c0_g1_i5 1096 4
TRINITY_DN3314_c1_g1_i7 1312 9
TRINITY_DN3315_c0_g1_i2 934 1
TRINITY_DN33163_c0_g2_i2 421 20
TRINITY_DN33168_c0_g1_i3 328 14
TRINITY_DN3316_c0_g1_i5 1480 38
TRINITY_DN3316_c0_g2_i4 583 1
TRINITY_DN33174_c0_g1_i1 1471 2
TRINITY_DN33175_c0_g2_i5 991 1
TRINITY_DN3317_c0_g1_i1 1483 8
TRINITY_DN3317_c1_g1_i4 1393 5
TRINITY_DN33183_c0_g3_i10 481 3
TRINITY_DN33189_c0_g1_i1 376 13
TRINITY_DN3319_c0_g1_i7 709 2
TRINITY_DN331_c0_g1_i1 1423 4
TRINITY_DN331_c1_g1_i1 997 29
TRINITY_DN331_c2_g1_i16 1156 43
TRINITY_DN33202_c1_g1_i5 1369 1
TRINITY_DN33208_c0_g2_i18 2080 1
TRINITY_DN3320_c0_g2_i2 448 3
TRINITY_DN3320_c1_g1_i3 1861 37
TRINITY_DN3320_c1_g2_i1 400 14
TRINITY_DN3320_c2_g1_i1 901 3
TRINITY_DN3320_c4_g1_i1 484 1
TRINITY_DN33214_c0_g1_i2 301 6
TRINITY_DN33228_c0_g1_i3 1327 19
TRINITY_DN3322_c0_g1_i7 862 33
TRINITY_DN3322_c1_g1_i2 520 11
TRINITY_DN332334_c0_g1_i1 835 1
TRINITY_DN33239_c0_g1_i4 826 2
TRINITY_DN33257_c0_g1_i1 2452 5
TRINITY_DN33265_c0_g1_i2 526 20
TRINITY_DN33282_c0_g1_i17 1309 6
TRINITY_DN3329_c0_g1_i9 442 17
TRINITY_DN332_c0_g1_i5 460 2
TRINITY_DN3330_c0_g1_i4 1615 22
TRINITY_DN3333_c0_g1_i11 1870 1
TRINITY_DN333501_c0_g1_i1 319 2
TRINITY_DN33357_c0_g1_i1 637 1
TRINITY_DN33363_c0_g1_i3 505 19
TRINITY_DN3336_c0_g1_i6 1723 3
TRINITY_DN3336_c0_g2_i2 1294 1
TRINITY_DN3337_c0_g1_i22 427 5
TRINITY_DN33384_c0_g1_i2 2272 22
TRINITY_DN33384_c0_g2_i4 604 4
TRINITY_DN33385_c0_g1_i1 1576 2
TRINITY_DN3338_c0_g3_i1 2140 1
TRINITY_DN3339_c2_g1_i13 2335 33
TRINITY_DN333_c0_g1_i9 550 4
TRINITY_DN3340_c4_g1_i4 2218 7
TRINITY_DN33413_c0_g1_i1 334 2
TRINITY_DN33413_c0_g2_i1 352 12
TRINITY_DN3341_c0_g1_i25 1438 3
TRINITY_DN33421_c0_g2_i1 400 17
TRINITY_DN3342_c0_g1_i1 943 3
TRINITY_DN33439_c0_g1_i4 1834 2
TRINITY_DN3343_c0_g1_i6 865 23
TRINITY_DN3343_c0_g2_i2 976 44
TRINITY_DN3343_c2_g1_i7 367 6
TRINITY_DN3344_c0_g1_i10 1801 51
TRINITY_DN334542_c0_g1_i2 400 16
TRINITY_DN3346_c0_g1_i6 1132 14
TRINITY_DN3347_c0_g2_i7 1390 1
TRINITY_DN3348_c0_g1_i18 2044 1
TRINITY_DN334929_c0_g1_i4 304 10
TRINITY_DN3349_c1_g2_i3 2392 2
TRINITY_DN334_c0_g1_i6 550 17
TRINITY_DN334_c0_g2_i1 985 1
TRINITY_DN334_c1_g1_i4 1309 2
TRINITY_DN334_c1_g3_i1 1486 4
TRINITY_DN335172_c0_g1_i1 529 3
TRINITY_DN33522_c1_g1_i1 352 1
TRINITY_DN3352_c0_g1_i23 4165 115
TRINITY_DN3352_c0_g2_i1 646 31
TRINITY_DN3355_c0_g1_i5 334 9
TRINITY_DN3357_c0_g1_i2 805 1
TRINITY_DN3357_c4_g1_i1 3856 3
TRINITY_DN3358_c0_g1_i5 1219 10
TRINITY_DN3361_c0_g3_i2 1408 1
TRINITY_DN33627_c0_g2_i1 355 6
TRINITY_DN3362_c0_g1_i8 874 7
TRINITY_DN33656_c0_g2_i1 451 14
TRINITY_DN33666_c0_g1_i4 427 24
TRINITY_DN3366_c0_g1_i8 943 15
TRINITY_DN3367_c0_g1_i6 841 1
TRINITY_DN3367_c0_g2_i1 2002 2
TRINITY_DN3367_c17_g1_i1 517 2
TRINITY_DN3367_c1_g1_i5 916 37
TRINITY_DN3367_c1_g2_i1 637 8
TRINITY_DN3367_c2_g1_i2 832 8
TRINITY_DN3367_c4_g1_i1 448 8
TRINITY_DN3367_c5_g1_i2 322 1
TRINITY_DN336890_c0_g1_i1 865 1
TRINITY_DN337004_c0_g1_i1 943 3
TRINITY_DN33700_c0_g1_i2 364 15
TRINITY_DN33710_c0_g1_i1 361 10
TRINITY_DN337112_c0_g1_i1 310 1
TRINITY_DN3372_c0_g1_i8 1867 1
TRINITY_DN3373_c0_g1_i2 2287 4
TRINITY_DN3374_c0_g1_i2 310 2
TRINITY_DN33752_c0_g1_i10 1633 7
TRINITY_DN337597_c0_g1_i1 319 2
TRINITY_DN33759_c0_g1_i6 361 11
TRINITY_DN3375_c0_g2_i1 514 27
TRINITY_DN3378_c0_g1_i1 3148 3
TRINITY_DN3378_c1_g1_i3 910 14
TRINITY_DN33807_c0_g3_i4 493 2
TRINITY_DN3380_c0_g1_i9 943 4
TRINITY_DN33822_c0_g1_i11 532 12
TRINITY_DN33823_c0_g1_i3 1042 31
TRINITY_DN33826_c0_g4_i1 415 1
TRINITY_DN3382_c0_g1_i3 511 22
TRINITY_DN33846_c0_g1_i8 1627 2
TRINITY_DN3385_c1_g1_i2 472 6
TRINITY_DN3385_c1_g2_i2 472 8
TRINITY_DN3388_c0_g3_i2 325 2
TRINITY_DN3388_c0_g4_i1 3613 2
TRINITY_DN33897_c0_g2_i1 1015 3
TRINITY_DN338_c0_g1_i3 2344 16
TRINITY_DN338_c1_g1_i1 10714 2
TRINITY_DN338_c2_g1_i2 1717 2
TRINITY_DN338_c3_g3_i3 778 1
TRINITY_DN3390_c0_g2_i9 1762 1
TRINITY_DN33910_c0_g1_i1 1660 1
TRINITY_DN33915_c0_g1_i5 532 29
TRINITY_DN33927_c0_g1_i7 2515 1
TRINITY_DN33937_c0_g1_i2 1507 1
TRINITY_DN3393_c0_g1_i8 2248 108
TRINITY_DN33946_c0_g2_i6 988 8
TRINITY_DN33949_c0_g1_i3 316 2
TRINITY_DN3394_c0_g1_i5 1579 32
TRINITY_DN33951_c0_g2_i1 376 12
TRINITY_DN3395_c1_g2_i3 4321 1
TRINITY_DN3395_c1_g3_i3 4321 2
TRINITY_DN3396_c0_g1_i2 649 7
TRINITY_DN3398_c0_g1_i4 1165 1
TRINITY_DN3398_c1_g1_i2 814 2
TRINITY_DN3398_c2_g2_i1 379 2
TRINITY_DN339_c0_g1_i2 970 17
TRINITY_DN339_c1_g1_i3 5581 12
TRINITY_DN339_c2_g1_i5 4276 5
TRINITY_DN339_c3_g1_i5 3442 28
TRINITY_DN339_c7_g1_i1 1660 7
TRINITY_DN33_c0_g2_i4 958 1
TRINITY_DN33_c0_g4_i1 1219 2
TRINITY_DN34015_c1_g1_i10 2248 42
TRINITY_DN3401_c1_g2_i5 1267 3
TRINITY_DN3401_c2_g1_i1 418 1
TRINITY_DN34040_c9_g1_i1 343 7
TRINITY_DN34053_c0_g3_i3 2041 5
TRINITY_DN3405_c0_g1_i5 1771 6
TRINITY_DN34071_c1_g1_i5 682 22
TRINITY_DN34083_c0_g1_i6 3706 1
TRINITY_DN34086_c0_g1_i3 448 1
TRINITY_DN3410_c0_g1_i1 1498 1
TRINITY_DN34110_c0_g1_i6 355 2
TRINITY_DN3411_c0_g1_i19 7585 20
TRINITY_DN34123_c0_g1_i1 1339 3
TRINITY_DN34134_c2_g1_i1 1309 1
TRINITY_DN3413_c0_g1_i17 2104 6
TRINITY_DN34140_c0_g1_i1 430 21
TRINITY_DN34163_c0_g1_i3 328 17
TRINITY_DN34164_c0_g1_i8 505 22
TRINITY_DN34164_c0_g2_i1 571 4
TRINITY_DN34164_c0_g3_i1 439 9
TRINITY_DN3416_c0_g1_i9 325 3
TRINITY_DN3416_c2_g1_i4 436 3
TRINITY_DN34201_c0_g1_i5 607 27
TRINITY_DN3422_c0_g1_i2 484 1
TRINITY_DN3424_c1_g1_i3 880 3
TRINITY_DN3424_c3_g2_i3 1918 5
TRINITY_DN3424_c4_g1_i3 4582 15
TRINITY_DN3426_c0_g1_i26 1390 21
TRINITY_DN34284_c0_g1_i1 1897 12
TRINITY_DN34284_c0_g2_i1 982 2
TRINITY_DN34288_c0_g1_i6 2518 11
