transcript_BGM_F len_BGM_F n_var_BGM_F
TRINITY_DN2990_c2_g1_i1 2194 7
TRINITY_DN29920_c0_g1_i4 307 14
TRINITY_DN29925_c0_g1_i2 316 8
TRINITY_DN2992_c1_g1_i9 319 2
TRINITY_DN2994_c1_g1_i3 625 4
TRINITY_DN29958_c0_g1_i1 580 16
TRINITY_DN2995_c0_g1_i11 2101 7
TRINITY_DN29960_c0_g1_i3 469 15
TRINITY_DN29975_c0_g3_i1 805 3
TRINITY_DN2997_c1_g1_i14 7870 18
TRINITY_DN29984_c0_g1_i9 2041 3
TRINITY_DN29996_c0_g1_i3 433 5
TRINITY_DN2999_c0_g2_i3 2467 1
TRINITY_DN299_c0_g1_i5 2389 9
TRINITY_DN299_c2_g1_i3 4033 5
TRINITY_DN299_c6_g1_i2 4063 3
TRINITY_DN29_c2_g2_i2 2323 117
TRINITY_DN300135_c0_g1_i6 397 1
TRINITY_DN30015_c0_g1_i4 364 1
TRINITY_DN30038_c0_g1_i3 481 2
TRINITY_DN30046_c0_g1_i4 388 3
TRINITY_DN30048_c0_g1_i3 451 12
TRINITY_DN3004_c0_g1_i4 364 2
TRINITY_DN30051_c0_g1_i1 400 6
TRINITY_DN30053_c0_g1_i1 1273 24
TRINITY_DN30078_c0_g2_i4 6448 30
TRINITY_DN30079_c0_g2_i1 433 6
TRINITY_DN3007_c0_g1_i1 415 1
TRINITY_DN3009_c0_g1_i3 571 13
TRINITY_DN3009_c0_g2_i1 1381 2
TRINITY_DN3009_c0_g3_i2 1381 2
TRINITY_DN300_c0_g1_i2 607 1
TRINITY_DN300_c3_g1_i4 754 5
TRINITY_DN30106_c0_g2_i1 1303 1
TRINITY_DN3012_c0_g1_i3 1525 2
TRINITY_DN301329_c1_g1_i3 355 15
TRINITY_DN30132_c0_g1_i3 1399 3
TRINITY_DN30136_c0_g1_i15 1378 9
TRINITY_DN3013_c0_g1_i7 4717 1
TRINITY_DN30151_c2_g1_i1 835 3
TRINITY_DN3015_c0_g1_i5 598 17
TRINITY_DN3015_c1_g1_i4 553 23
TRINITY_DN3016_c0_g1_i2 6085 13
TRINITY_DN3017_c0_g1_i5 838 1
TRINITY_DN30185_c0_g1_i1 598 2
TRINITY_DN3018_c0_g1_i1 2953 2
TRINITY_DN3019_c0_g2_i8 1663 7
TRINITY_DN3019_c0_g3_i24 1237 1
TRINITY_DN3019_c1_g1_i3 688 1
TRINITY_DN301_c0_g1_i11 481 5
TRINITY_DN3021_c2_g1_i6 484 17
TRINITY_DN3021_c2_g2_i1 451 4
TRINITY_DN3022_c0_g1_i2 3481 2
TRINITY_DN3022_c1_g2_i1 2203 6
TRINITY_DN3022_c2_g1_i2 1771 2
TRINITY_DN302_c0_g1_i2 1969 2
TRINITY_DN302_c1_g1_i5 1813 15
TRINITY_DN3030_c0_g2_i3 1981 2
TRINITY_DN3030_c2_g1_i1 448 17
TRINITY_DN3035_c0_g1_i8 1606 51
TRINITY_DN303674_c0_g1_i1 322 9
TRINITY_DN30385_c2_g1_i1 1678 1
TRINITY_DN30387_c0_g1_i4 691 2
TRINITY_DN303_c0_g2_i1 316 2
TRINITY_DN303_c3_g1_i3 361 5
TRINITY_DN303_c4_g1_i2 2482 1
TRINITY_DN3040_c0_g1_i5 4012 30
TRINITY_DN3041_c0_g1_i10 532 1
TRINITY_DN30424_c1_g1_i6 1687 5
TRINITY_DN304386_c0_g1_i6 358 3
TRINITY_DN3044_c0_g1_i7 2131 1
TRINITY_DN3044_c1_g3_i2 589 1
TRINITY_DN3045_c0_g1_i8 19969 58
TRINITY_DN304969_c1_g1_i4 328 16
TRINITY_DN3049_c0_g1_i9 2356 4
TRINITY_DN3049_c1_g1_i3 2272 3
TRINITY_DN304_c0_g2_i11 10480 5
TRINITY_DN3052_c0_g1_i4 2212 10
TRINITY_DN3054_c0_g1_i6 607 7
TRINITY_DN30557_c0_g1_i3 1030 12
TRINITY_DN30557_c0_g3_i1 499 1
TRINITY_DN3055_c0_g1_i11 1369 9
TRINITY_DN30563_c0_g1_i7 820 24
TRINITY_DN30577_c1_g1_i1 451 4
TRINITY_DN3057_c0_g1_i2 1525 1
TRINITY_DN3057_c6_g1_i1 1129 36
TRINITY_DN30583_c0_g1_i4 700 1
TRINITY_DN3058_c3_g1_i7 832 21
TRINITY_DN305_c0_g2_i4 298 3
TRINITY_DN30608_c0_g1_i2 2050 8
TRINITY_DN3060_c0_g1_i5 550 15
TRINITY_DN30616_c2_g1_i1 1519 4
TRINITY_DN3061_c0_g1_i10 2284 1
TRINITY_DN30626_c0_g1_i8 658 1
TRINITY_DN30628_c0_g2_i1 316 1
TRINITY_DN30634_c1_g1_i5 1702 30
TRINITY_DN30634_c3_g1_i7 601 11
TRINITY_DN3063_c0_g1_i7 1564 5
TRINITY_DN3064_c0_g1_i12 1288 43
TRINITY_DN30652_c0_g1_i7 2569 8
TRINITY_DN30656_c0_g1_i4 451 8
TRINITY_DN3065_c0_g2_i2 1966 1
TRINITY_DN3065_c2_g1_i2 1285 4
TRINITY_DN3066_c0_g1_i9 727 2
TRINITY_DN3066_c1_g3_i1 1354 18
TRINITY_DN30673_c0_g1_i6 394 13
TRINITY_DN30682_c0_g1_i5 478 6
TRINITY_DN3068_c0_g5_i1 1150 2
TRINITY_DN30695_c0_g1_i2 637 34
TRINITY_DN3069_c0_g1_i8 1135 3
TRINITY_DN3069_c1_g1_i1 1126 2
TRINITY_DN306_c0_g3_i5 1786 1
TRINITY_DN306_c2_g1_i6 2008 7
TRINITY_DN30718_c0_g3_i1 508 3
TRINITY_DN30718_c1_g2_i3 1174 26
TRINITY_DN30726_c0_g1_i5 1978 7
TRINITY_DN307311_c0_g1_i8 430 17
TRINITY_DN3073_c0_g1_i9 3415 6
TRINITY_DN30752_c1_g1_i1 712 1
TRINITY_DN3075_c1_g1_i11 1252 5
TRINITY_DN307690_c0_g1_i1 304 3
TRINITY_DN3079_c0_g1_i7 3151 71
TRINITY_DN307_c0_g1_i12 1231 9
TRINITY_DN30802_c0_g1_i6 1021 2
TRINITY_DN30807_c1_g1_i1 367 3
TRINITY_DN30820_c0_g1_i12 1102 1
TRINITY_DN3082_c0_g1_i1 1471 28
TRINITY_DN3082_c1_g1_i10 1552 54
TRINITY_DN308319_c0_g1_i4 430 4
TRINITY_DN3083_c0_g2_i14 9673 3
TRINITY_DN3084_c0_g3_i3 508 3
TRINITY_DN308505_c0_g2_i2 325 1
TRINITY_DN3085_c1_g1_i4 2278 90
TRINITY_DN308_c1_g1_i1 1075 1
TRINITY_DN30905_c0_g1_i6 1024 1
TRINITY_DN30907_c0_g3_i2 1018 5
TRINITY_DN30907_c1_g1_i2 967 2
TRINITY_DN30909_c0_g1_i6 2056 6
TRINITY_DN309259_c0_g1_i2 358 12
TRINITY_DN3092_c0_g1_i1 1876 37
TRINITY_DN3092_c0_g2_i4 2278 52
TRINITY_DN3094_c0_g1_i8 3022 14
TRINITY_DN3095_c0_g1_i3 2323 33
TRINITY_DN3098_c1_g1_i4 1462 61
TRINITY_DN3099_c0_g2_i10 1744 1
TRINITY_DN309_c0_g1_i7 1957 8
TRINITY_DN309_c1_g1_i8 940 34
TRINITY_DN3101_c0_g1_i9 1285 1
TRINITY_DN31032_c1_g1_i1 376 4
TRINITY_DN31049_c1_g3_i2 307 1
TRINITY_DN31054_c0_g1_i5 628 3
TRINITY_DN31074_c0_g1_i4 352 15
TRINITY_DN3107_c0_g1_i6 1825 43
TRINITY_DN31083_c0_g1_i7 1429 8
TRINITY_DN310_c2_g2_i1 949 1
TRINITY_DN31102_c0_g1_i2 3499 36
TRINITY_DN31102_c1_g1_i1 376 2
TRINITY_DN311115_c0_g1_i1 367 7
TRINITY_DN31113_c0_g1_i2 3349 1
TRINITY_DN3111_c0_g1_i3 2509 48
TRINITY_DN31121_c0_g1_i1 328 17
TRINITY_DN311258_c0_g1_i1 325 10
TRINITY_DN31135_c0_g1_i1 940 11
TRINITY_DN3113_c1_g1_i5 2704 136
TRINITY_DN3113_c2_g1_i3 2011 103
TRINITY_DN31141_c0_g1_i4 388 11
TRINITY_DN3115_c0_g1_i1 1699 29
TRINITY_DN3115_c2_g1_i1 757 1
TRINITY_DN3117_c0_g1_i7 2203 51
TRINITY_DN31197_c0_g2_i1 829 4
TRINITY_DN311_c0_g1_i2 835 1
TRINITY_DN31203_c0_g1_i2 310 3
TRINITY_DN3121_c0_g1_i2 1027 2
TRINITY_DN3121_c1_g1_i8 3190 2
TRINITY_DN31226_c0_g1_i2 478 6
TRINITY_DN3122_c0_g3_i4 2725 1
TRINITY_DN3123_c0_g1_i5 889 5
TRINITY_DN312404_c0_g1_i1 409 3
TRINITY_DN31249_c0_g3_i1 1228 1
TRINITY_DN31272_c0_g2_i2 697 4
TRINITY_DN3127_c1_g1_i4 1000 4
TRINITY_DN3127_c4_g1_i1 1309 2
TRINITY_DN31283_c0_g1_i4 316 2
TRINITY_DN3128_c0_g2_i1 2191 3
TRINITY_DN31298_c0_g5_i1 508 5
TRINITY_DN3130_c0_g2_i2 499 9
TRINITY_DN31318_c1_g1_i9 1204 1
TRINITY_DN3131_c0_g1_i3 649 7
TRINITY_DN313208_c0_g1_i1 601 3
TRINITY_DN31320_c0_g1_i3 406 13
TRINITY_DN3133_c0_g1_i12 2812 2
TRINITY_DN31346_c0_g1_i2 940 1
TRINITY_DN3135_c0_g1_i7 796 6
TRINITY_DN3135_c3_g1_i1 1081 5
TRINITY_DN31365_c0_g1_i1 1099 1
TRINITY_DN3136_c0_g1_i2 1519 7
TRINITY_DN31397_c1_g1_i1 313 2
TRINITY_DN313_c0_g1_i4 325 1
TRINITY_DN313_c1_g3_i1 1402 2
TRINITY_DN31400_c0_g1_i6 355 13
TRINITY_DN3140_c0_g1_i7 583 5
TRINITY_DN3141_c0_g1_i1 1096 2
TRINITY_DN3141_c0_g5_i1 1096 1
TRINITY_DN31424_c0_g1_i1 376 14
TRINITY_DN31430_c0_g1_i4 4117 63
TRINITY_DN3144_c0_g1_i5 676 32
TRINITY_DN3144_c2_g1_i3 1852 5
TRINITY_DN3145_c0_g1_i8 967 34
TRINITY_DN3145_c1_g1_i10 2503 62
TRINITY_DN3146_c0_g1_i3 1237 48
TRINITY_DN31478_c0_g1_i1 1060 17
TRINITY_DN3147_c1_g1_i3 319 11
TRINITY_DN31480_c0_g1_i4 412 18
TRINITY_DN31480_c1_g1_i1 346 3
TRINITY_DN31489_c3_g1_i1 388 3
TRINITY_DN31499_c0_g1_i1 1483 1
TRINITY_DN3149_c0_g2_i1 823 1
TRINITY_DN3149_c2_g1_i6 520 4
TRINITY_DN314_c1_g1_i2 2602 2
TRINITY_DN314_c1_g2_i2 1855 2
TRINITY_DN314_c1_g3_i2 1972 3
TRINITY_DN314_c1_g4_i1 652 2
TRINITY_DN31508_c0_g1_i3 4315 13
TRINITY_DN31508_c0_g2_i1 637 1
TRINITY_DN3150_c1_g1_i8 3175 15
TRINITY_DN31512_c0_g1_i6 379 8
TRINITY_DN31517_c0_g1_i4 370 6
TRINITY_DN3151_c0_g1_i8 1168 2
TRINITY_DN3152_c2_g3_i1 373 8
TRINITY_DN31537_c0_g1_i2 10750 12
TRINITY_DN31537_c1_g3_i1 1519 4
TRINITY_DN3153_c1_g1_i4 1594 2
TRINITY_DN31543_c0_g1_i1 328 2
TRINITY_DN3155_c0_g1_i5 2179 1
TRINITY_DN31567_c0_g1_i1 2794 3
TRINITY_DN3156_c0_g1_i17 1708 1
TRINITY_DN31579_c0_g1_i1 1045 3
TRINITY_DN31584_c0_g1_i1 1900 8
TRINITY_DN31592_c0_g2_i2 370 11
TRINITY_DN3159_c0_g1_i10 1216 10
TRINITY_DN31603_c0_g1_i8 1204 2
TRINITY_DN3160_c0_g1_i3 6373 15
TRINITY_DN3161_c0_g1_i7 850 1
TRINITY_DN3161_c1_g1_i3 2749 9
TRINITY_DN316212_c0_g1_i3 367 2
TRINITY_DN31622_c0_g1_i11 421 7
TRINITY_DN31627_c0_g1_i5 1402 2
TRINITY_DN3162_c0_g3_i2 424 1
TRINITY_DN31636_c0_g1_i2 583 7
TRINITY_DN3163_c0_g1_i40 6037 5
TRINITY_DN3165_c0_g1_i1 988 1
TRINITY_DN3165_c1_g1_i2 1810 7
TRINITY_DN31660_c1_g1_i3 466 4
TRINITY_DN3166_c0_g1_i15 3799 10
TRINITY_DN31685_c0_g1_i2 1201 2
TRINITY_DN31706_c1_g1_i11 2152 5
TRINITY_DN3170_c0_g1_i5 2434 2
TRINITY_DN317169_c0_g1_i2 3235 23
TRINITY_DN3172_c0_g1_i7 1072 3
TRINITY_DN31754_c0_g1_i1 361 15
TRINITY_DN3176_c0_g1_i4 397 7
TRINITY_DN3176_c1_g1_i1 697 7
TRINITY_DN3179_c0_g1_i13 436 6
TRINITY_DN317_c1_g1_i2 601 2
TRINITY_DN317_c3_g1_i1 976 5
TRINITY_DN31803_c0_g1_i4 1048 1
TRINITY_DN3181_c1_g1_i7 2089 5
TRINITY_DN318309_c0_g1_i2 334 2
TRINITY_DN3183_c0_g1_i2 1738 13
TRINITY_DN31868_c0_g1_i11 1105 20
TRINITY_DN31872_c0_g1_i3 496 4
TRINITY_DN3187_c0_g2_i8 460 1
TRINITY_DN31889_c0_g1_i4 1501 19
TRINITY_DN3188_c0_g1_i5 301 1
TRINITY_DN31896_c0_g3_i3 472 1
TRINITY_DN318_c4_g1_i5 1534 9
TRINITY_DN31908_c1_g1_i4 547 1
TRINITY_DN3190_c0_g1_i3 874 22
TRINITY_DN31930_c0_g3_i4 3598 4
TRINITY_DN31935_c0_g1_i5 1570 3
TRINITY_DN31935_c0_g2_i1 739 1
TRINITY_DN31937_c0_g1_i1 403 5
TRINITY_DN31961_c0_g1_i2 361 12
TRINITY_DN3196_c0_g1_i3 4009 3
TRINITY_DN31990_c0_g1_i17 412 6
TRINITY_DN319_c0_g3_i1 1624 8
TRINITY_DN319_c1_g1_i1 2419 3
TRINITY_DN319_c2_g2_i1 2332 3
TRINITY_DN319_c5_g2_i1 4600 2
TRINITY_DN319_c8_g1_i1 2617 13
TRINITY_DN319_c8_g2_i1 343 5
TRINITY_DN3200_c0_g2_i1 634 4
TRINITY_DN3202_c0_g1_i10 4462 6
TRINITY_DN3203_c0_g1_i13 394 1
TRINITY_DN3203_c0_g2_i2 697 7
TRINITY_DN32040_c0_g1_i7 502 1
TRINITY_DN3204_c0_g1_i3 3748 11
TRINITY_DN3204_c0_g2_i1 358 5
TRINITY_DN32052_c0_g1_i1 553 11
TRINITY_DN3205_c1_g1_i6 2962 1
TRINITY_DN3205_c2_g1_i1 1198 1
TRINITY_DN3205_c5_g2_i1 1348 1
TRINITY_DN32074_c0_g1_i3 706 1
TRINITY_DN3207_c0_g2_i6 1987 3
TRINITY_DN32080_c0_g1_i1 334 1
TRINITY_DN3208_c1_g1_i5 442 10
TRINITY_DN3208_c1_g3_i4 739 4
TRINITY_DN32090_c0_g1_i7 1606 38
TRINITY_DN3209_c0_g1_i3 493 4
TRINITY_DN3211_c0_g1_i3 1558 3
TRINITY_DN3213_c0_g1_i22 3718 1
TRINITY_DN3213_c0_g2_i2 3643 1
TRINITY_DN3213_c0_g3_i1 3628 5
TRINITY_DN3213_c1_g1_i1 913 2
TRINITY_DN3213_c2_g1_i6 784 3
TRINITY_DN32140_c0_g1_i2 304 12
TRINITY_DN3215_c0_g1_i1 670 1
TRINITY_DN3215_c1_g2_i5 2407 49
TRINITY_DN3215_c4_g1_i1 1657 5
TRINITY_DN3216_c0_g1_i7 4639 4
TRINITY_DN32188_c0_g1_i11 754 16
TRINITY_DN3218_c0_g2_i2 1723 3
TRINITY_DN3219_c0_g1_i3 913 8
TRINITY_DN3219_c0_g2_i1 373 4
TRINITY_DN3219_c0_g3_i1 439 1
TRINITY_DN321_c3_g1_i14 1810 52
TRINITY_DN321_c42_g1_i1 1645 1
TRINITY_DN321_c5_g1_i17 610 10
TRINITY_DN321_c7_g1_i8 2329 97
TRINITY_DN322107_c0_g1_i1 307 11
TRINITY_DN32214_c0_g1_i13 4507 3
TRINITY_DN32223_c0_g1_i8 1249 1
TRINITY_DN32225_c0_g1_i9 484 3
TRINITY_DN32235_c0_g2_i4 616 2
TRINITY_DN3225_c0_g3_i1 1528 1
TRINITY_DN32260_c0_g1_i1 301 1
TRINITY_DN322697_c0_g1_i1 301 1
TRINITY_DN32281_c0_g1_i5 1774 9
TRINITY_DN323001_c0_g1_i2 325 11
TRINITY_DN32314_c0_g1_i3 325 15
TRINITY_DN3232_c0_g1_i6 1846 6
TRINITY_DN3233_c0_g2_i16 2710 1
TRINITY_DN32347_c0_g1_i2 982 1
TRINITY_DN3234_c0_g1_i3 385 9
TRINITY_DN32355_c0_g1_i6 421 12
TRINITY_DN3237_c0_g1_i1 859 1
TRINITY_DN3237_c1_g1_i6 1015 12
TRINITY_DN3239_c0_g1_i4 5128 17
TRINITY_DN3239_c1_g1_i1 2263 1
TRINITY_DN323_c0_g2_i2 2179 1
TRINITY_DN323_c1_g1_i2 2707 1
TRINITY_DN32412_c0_g2_i4 592 3
TRINITY_DN32423_c0_g1_i2 505 1
TRINITY_DN324255_c0_g1_i1 397 2
TRINITY_DN3242_c0_g1_i3 826 12
TRINITY_DN3242_c1_g1_i1 805 5
TRINITY_DN32442_c0_g1_i1 346 7
TRINITY_DN3245_c0_g1_i12 2437 1
TRINITY_DN3248_c0_g1_i2 2680 1
TRINITY_DN324_c0_g1_i3 4507 9
TRINITY_DN32507_c0_g4_i2 2209 2
TRINITY_DN3250_c0_g1_i8 418 15
TRINITY_DN32510_c0_g1_i8 1771 2
TRINITY_DN32513_c1_g1_i9 763 10
TRINITY_DN325202_c0_g1_i2 382 2
TRINITY_DN3253_c0_g1_i1 1369 1
TRINITY_DN3253_c1_g1_i4 2239 2
TRINITY_DN3253_c2_g1_i1 994 27
TRINITY_DN3253_c2_g2_i1 1618 20
TRINITY_DN3254_c0_g1_i4 1087 2
TRINITY_DN32552_c0_g2_i1 310 6
TRINITY_DN3256_c1_g1_i2 643 8
TRINITY_DN3257_c0_g2_i3 1849 8
TRINITY_DN3259_c0_g1_i2 1951 40
TRINITY_DN325_c0_g1_i10 796 2
TRINITY_DN325_c2_g1_i2 868 2
TRINITY_DN325_c2_g2_i3 1300 1
TRINITY_DN32603_c0_g1_i1 1366 2
TRINITY_DN32613_c0_g1_i3 355 1
TRINITY_DN32617_c0_g1_i2 523 1
TRINITY_DN3262_c1_g2_i5 1096 42
TRINITY_DN32641_c0_g1_i1 727 12
TRINITY_DN3264_c1_g1_i3 1903 1
TRINITY_DN3265_c1_g1_i1 2302 2
TRINITY_DN32667_c0_g1_i3 301 9
TRINITY_DN3266_c0_g1_i13 943 4
TRINITY_DN3266_c0_g2_i1 637 2
TRINITY_DN3266_c1_g1_i3 1240 33
TRINITY_DN32675_c0_g1_i1 1585 10
TRINITY_DN32684_c0_g1_i1 469 14
TRINITY_DN32689_c0_g1_i4 847 37
TRINITY_DN326_c0_g1_i3 2962 32
TRINITY_DN326_c0_g2_i1 2413 1
TRINITY_DN32712_c0_g1_i7 1948 49
TRINITY_DN327174_c0_g3_i1 2389 1
TRINITY_DN32718_c0_g1_i8 1216 32
TRINITY_DN32721_c0_g1_i4 1288 1
TRINITY_DN32724_c0_g1_i4 847 14
TRINITY_DN3272_c0_g1_i4 892 38
TRINITY_DN32733_c0_g2_i2 769 6
TRINITY_DN3273_c1_g1_i20 3220 4
TRINITY_DN32746_c1_g1_i3 2533 1
TRINITY_DN3274_c0_g1_i5 445 1
TRINITY_DN32752_c0_g3_i1 310 5
TRINITY_DN32754_c0_g1_i3 2650 2
TRINITY_DN3276_c1_g1_i2 6190 6
TRINITY_DN32786_c0_g1_i17 1654 5
TRINITY_DN32792_c0_g1_i5 2866 3
TRINITY_DN3279_c0_g1_i12 592 1
TRINITY_DN327_c0_g1_i3 925 2
TRINITY_DN327_c0_g4_i1 745 10
TRINITY_DN32817_c0_g3_i1 328 9
TRINITY_DN32822_c0_g1_i1 835 6
TRINITY_DN3282_c0_g4_i2 490 1
TRINITY_DN328435_c0_g3_i1 451 4
TRINITY_DN32845_c0_g2_i1 1309 2
TRINITY_DN3285_c3_g1_i12 1228 17
TRINITY_DN32861_c0_g1_i4 769 1
TRINITY_DN32866_c1_g1_i7 2170 32
TRINITY_DN3286_c0_g1_i1 529 11
TRINITY_DN3286_c0_g2_i2 301 7
TRINITY_DN328_c0_g1_i8 4417 2
TRINITY_DN3291_c1_g2_i1 616 2
TRINITY_DN3294_c0_g3_i2 2674 8
TRINITY_DN32974_c0_g1_i5 424 13
TRINITY_DN3297_c0_g2_i2 1840 3
TRINITY_DN3298_c1_g2_i11 964 27
TRINITY_DN329_c0_g1_i8 2317 2
TRINITY_DN32_c1_g2_i2 511 11
TRINITY_DN33000_c0_g1_i1 394 1
TRINITY_DN33001_c0_g1_i8 694 14
TRINITY_DN3301_c1_g1_i2 430 1
TRINITY_DN33034_c0_g2_i2 298 7
TRINITY_DN33041_c0_g1_i2 3652 18
TRINITY_DN3304_c0_g1_i5 592 23
TRINITY_DN3305_c0_g1_i9 1078 37
TRINITY_DN3305_c1_g1_i4 2092 56
TRINITY_DN3306_c1_g1_i8 649 2
TRINITY_DN33076_c0_g2_i4 616 2
TRINITY_DN33084_c0_g1_i4 1933 1
TRINITY_DN330897_c0_g1_i1 730 1
TRINITY_DN3309_c0_g1_i10 334 5
TRINITY_DN3309_c0_g3_i1 397 4
TRINITY_DN3309_c0_g4_i1 340 3
TRINITY_DN3309_c1_g1_i14 2656 8
TRINITY_DN3309_c2_g1_i2 316 14
TRINITY_DN3310_c0_g1_i4 3958 6
TRINITY_DN3310_c2_g2_i5 505 7
TRINITY_DN3310_c5_g1_i1 406 1
TRINITY_DN3311_c1_g2_i3 517 13
TRINITY_DN3312_c0_g1_i4 1999 3
TRINITY_DN3312_c2_g1_i1 1852 10
TRINITY_DN3313_c0_g1_i3 1534 17
TRINITY_DN3314_c0_g1_i5 1096 4
TRINITY_DN3314_c1_g1_i7 1312 10
TRINITY_DN3315_c0_g1_i2 934 3
TRINITY_DN33163_c0_g2_i2 421 19
TRINITY_DN33168_c0_g1_i3 328 15
TRINITY_DN3316_c0_g1_i5 1480 31
TRINITY_DN3316_c0_g2_i4 583 1
TRINITY_DN33174_c0_g1_i1 1471 2
TRINITY_DN33175_c0_g2_i5 991 1
TRINITY_DN3317_c0_g1_i1 1483 6
TRINITY_DN3317_c1_g1_i4 1393 5
TRINITY_DN33183_c0_g3_i10 481 1
TRINITY_DN33189_c0_g1_i1 376 8
TRINITY_DN3319_c0_g1_i7 709 4
TRINITY_DN331_c0_g1_i1 1423 4
TRINITY_DN331_c1_g1_i1 997 28
TRINITY_DN331_c2_g1_i16 1156 52
TRINITY_DN33202_c1_g1_i5 1369 1
TRINITY_DN33208_c0_g2_i18 2080 3
TRINITY_DN3320_c0_g2_i2 448 3
TRINITY_DN3320_c10_g1_i1 1480 1
TRINITY_DN3320_c1_g1_i3 1861 43
TRINITY_DN3320_c1_g2_i1 400 3
TRINITY_DN33214_c0_g1_i2 301 7
TRINITY_DN33228_c0_g1_i3 1327 19
TRINITY_DN3322_c0_g1_i7 862 21
TRINITY_DN3322_c1_g1_i2 520 12
TRINITY_DN33239_c0_g1_i4 826 1
TRINITY_DN3324_c0_g1_i1 730 3
TRINITY_DN33257_c0_g1_i1 2452 5
TRINITY_DN33265_c0_g1_i2 526 21
TRINITY_DN33282_c0_g1_i17 1309 4
TRINITY_DN3329_c0_g1_i9 442 13
TRINITY_DN332_c0_g1_i5 460 3
TRINITY_DN3330_c0_g1_i4 1615 18
TRINITY_DN3333_c0_g1_i11 1870 1
TRINITY_DN3333_c0_g2_i1 319 12
TRINITY_DN33363_c0_g1_i3 505 11
TRINITY_DN3336_c0_g1_i6 1723 2
TRINITY_DN3337_c0_g1_i22 427 6
TRINITY_DN33384_c0_g1_i2 2272 25
TRINITY_DN33384_c0_g2_i4 604 5
TRINITY_DN3338_c0_g3_i1 2140 2
TRINITY_DN3339_c2_g1_i13 2335 30
TRINITY_DN333_c0_g1_i9 550 1
TRINITY_DN3340_c4_g1_i4 2218 2
TRINITY_DN33413_c0_g1_i1 334 4
TRINITY_DN33413_c0_g2_i1 352 22
TRINITY_DN3341_c0_g1_i25 1438 3
TRINITY_DN33421_c0_g2_i1 400 6
TRINITY_DN3342_c0_g1_i1 943 2
TRINITY_DN33439_c0_g1_i4 1834 1
TRINITY_DN3343_c0_g1_i6 865 18
TRINITY_DN3343_c0_g2_i2 976 41
TRINITY_DN3343_c2_g1_i7 367 4
TRINITY_DN3344_c0_g1_i10 1801 33
TRINITY_DN334542_c0_g1_i2 400 13
TRINITY_DN3346_c0_g1_i6 1132 26
TRINITY_DN3347_c0_g2_i7 1390 1
TRINITY_DN3348_c0_g1_i18 2044 2
TRINITY_DN334929_c0_g1_i4 304 7
TRINITY_DN3349_c1_g2_i3 2392 1
TRINITY_DN334_c0_g1_i6 550 18
TRINITY_DN334_c0_g2_i1 985 1
TRINITY_DN334_c1_g1_i4 1309 1
TRINITY_DN334_c1_g3_i1 1486 3
TRINITY_DN3352_c0_g1_i23 4165 93
TRINITY_DN3352_c0_g2_i1 646 26
TRINITY_DN3355_c0_g1_i5 334 9
TRINITY_DN3357_c0_g1_i2 805 1
TRINITY_DN3357_c4_g1_i1 3856 2
TRINITY_DN3358_c0_g1_i5 1219 17
TRINITY_DN3361_c0_g3_i2 1408 1
TRINITY_DN33627_c0_g2_i1 355 2
TRINITY_DN33656_c0_g2_i1 451 9
TRINITY_DN33666_c0_g1_i4 427 18
TRINITY_DN3366_c0_g1_i8 943 13
TRINITY_DN3367_c0_g1_i6 841 7
TRINITY_DN3367_c0_g2_i1 2002 2
TRINITY_DN3367_c17_g1_i1 517 3
TRINITY_DN3367_c1_g1_i5 916 36
TRINITY_DN3367_c1_g2_i1 637 5
TRINITY_DN3367_c2_g1_i2 832 8
TRINITY_DN3367_c4_g1_i1 448 13
TRINITY_DN336890_c0_g1_i1 865 2
TRINITY_DN3369_c0_g1_i1 328 2
TRINITY_DN337004_c0_g1_i1 943 1
TRINITY_DN33700_c0_g1_i2 364 7
TRINITY_DN33710_c0_g1_i1 361 12
TRINITY_DN3371_c1_g1_i8 814 1
TRINITY_DN3372_c0_g1_i8 1867 1
TRINITY_DN3373_c0_g1_i2 2287 4
TRINITY_DN3374_c0_g1_i2 310 2
TRINITY_DN33752_c0_g1_i10 1633 7
TRINITY_DN33759_c0_g1_i6 361 14
TRINITY_DN3375_c0_g2_i1 514 26
TRINITY_DN337881_c0_g1_i1 661 1
TRINITY_DN3378_c0_g1_i1 3148 1
TRINITY_DN3378_c1_g1_i3 910 12
TRINITY_DN337_c0_g1_i2 340 1
TRINITY_DN33807_c0_g3_i4 493 1
TRINITY_DN3380_c0_g1_i9 943 5
TRINITY_DN33822_c0_g1_i11 532 26
TRINITY_DN33823_c0_g1_i3 1042 27
TRINITY_DN33826_c0_g4_i1 415 2
TRINITY_DN3382_c0_g1_i3 511 22
TRINITY_DN3385_c1_g1_i2 472 6
TRINITY_DN3385_c1_g2_i2 472 7
TRINITY_DN33871_c0_g1_i1 784 1
TRINITY_DN3388_c0_g3_i2 325 2
TRINITY_DN3388_c0_g4_i1 3613 1
TRINITY_DN33897_c0_g2_i1 1015 3
TRINITY_DN338_c0_g1_i3 2344 12
TRINITY_DN338_c1_g1_i1 10714 2
TRINITY_DN338_c1_g2_i1 673 1
TRINITY_DN338_c2_g1_i2 1717 1
TRINITY_DN338_c3_g3_i3 778 1
TRINITY_DN3390_c0_g2_i9 1762 1
TRINITY_DN33910_c0_g1_i1 1660 1
TRINITY_DN33915_c0_g1_i5 532 10
