transcript_BRO_F len_BRO_F n_var_BRO_F
TRINITY_DN333_c0_g1_i3 1540 0
TRINITY_DN3344_c0_g2_i2 1507 0
TRINITY_DN33450_c2_g1_i1 301 0
TRINITY_DN3346_c0_g1_i2 2107 0
TRINITY_DN3347_c0_g1_i6 1186 8
TRINITY_DN33486_c0_g1_i1 373 13
TRINITY_DN33489_c0_g1_i5 469 2
TRINITY_DN33492_c0_g1_i4 544 13
TRINITY_DN3349_c0_g1_i1 652 4
TRINITY_DN334_c3_g1_i2 352 4
TRINITY_DN33508_c0_g1_i1 301 0
TRINITY_DN3350_c0_g1_i1 1258 1
TRINITY_DN3350_c2_g1_i2 592 0
TRINITY_DN3352_c0_g1_i7 1726 16
TRINITY_DN3353_c0_g1_i2 601 3
TRINITY_DN3353_c0_g2_i2 685 2
TRINITY_DN3354_c0_g1_i7 2008 46
TRINITY_DN3355_c0_g1_i10 1315 0
TRINITY_DN33562_c0_g1_i1 307 1
TRINITY_DN3359_c4_g1_i1 1642 70
TRINITY_DN335_c0_g3_i11 1306 1
TRINITY_DN33657_c0_g1_i2 328 0
TRINITY_DN33659_c0_g1_i5 373 14
TRINITY_DN33660_c0_g2_i1 328 0
TRINITY_DN3366_c0_g1_i4 415 19
TRINITY_DN3369_c0_g1_i1 916 0
TRINITY_DN3369_c0_g2_i8 961 18
TRINITY_DN336_c1_g1_i2 880 0
TRINITY_DN33720_c0_g1_i7 502 3
TRINITY_DN3372_c0_g1_i3 832 5
TRINITY_DN33733_c0_g1_i2 1693 4
TRINITY_DN3376_c0_g1_i14 3685 2
TRINITY_DN33792_c0_g1_i1 361 0
TRINITY_DN337_c1_g1_i3 592 1
TRINITY_DN3382_c0_g1_i5 847 25
TRINITY_DN33850_c0_g1_i5 1147 39
TRINITY_DN33864_c0_g2_i1 397 1
TRINITY_DN33867_c0_g2_i1 340 0
TRINITY_DN3393_c0_g1_i4 457 6
TRINITY_DN3399_c0_g1_i9 1336 57
TRINITY_DN3401_c0_g1_i2 1729 17
TRINITY_DN3402_c0_g2_i1 757 0
TRINITY_DN34039_c0_g1_i5 409 0
TRINITY_DN3403_c1_g1_i3 316 5
TRINITY_DN34067_c0_g1_i1 400 0
TRINITY_DN3407_c0_g1_i2 886 24
TRINITY_DN3408_c0_g1_i5 1798 0
TRINITY_DN340_c0_g1_i1 2161 0
TRINITY_DN34107_c0_g1_i2 373 12
TRINITY_DN34125_c0_g1_i5 2506 6
TRINITY_DN3420_c0_g1_i6 1765 44
TRINITY_DN34214_c0_g3_i2 589 8
TRINITY_DN34221_c0_g1_i1 1645 0
TRINITY_DN3423_c0_g1_i13 3001 0
TRINITY_DN34260_c0_g2_i4 451 0
TRINITY_DN34277_c0_g1_i4 316 11
TRINITY_DN34287_c0_g1_i6 868 8
TRINITY_DN342_c0_g1_i2 1645 1
TRINITY_DN342_c1_g1_i1 1633 0
TRINITY_DN34313_c0_g2_i3 358 5
TRINITY_DN3431_c0_g2_i1 307 9
TRINITY_DN34321_c0_g1_i6 1015 0
TRINITY_DN34331_c0_g3_i1 598 1
TRINITY_DN34335_c0_g1_i9 520 0
TRINITY_DN34340_c0_g1_i2 1627 0
TRINITY_DN34348_c0_g1_i8 1942 1
TRINITY_DN3436_c0_g1_i5 1015 55
TRINITY_DN3436_c0_g2_i2 985 42
TRINITY_DN3437_c0_g1_i1 3565 1
TRINITY_DN3437_c2_g1_i4 2761 0
TRINITY_DN34387_c0_g1_i2 349 6
TRINITY_DN34392_c0_g2_i2 409 0
TRINITY_DN34405_c0_g1_i1 838 0
TRINITY_DN3443_c0_g1_i9 1567 26
TRINITY_DN34446_c1_g1_i7 394 4
TRINITY_DN344_c6_g1_i1 460 0
TRINITY_DN34500_c0_g1_i2 1597 0
TRINITY_DN34500_c0_g2_i1 811 0
TRINITY_DN34500_c0_g3_i1 364 0
TRINITY_DN34500_c1_g1_i1 460 0
TRINITY_DN34516_c0_g1_i5 406 17
TRINITY_DN34531_c0_g2_i4 625 0
TRINITY_DN34538_c0_g1_i1 997 1
TRINITY_DN3454_c0_g1_i11 1135 24
TRINITY_DN34557_c1_g1_i1 859 0
TRINITY_DN3455_c0_g2_i1 1063 0
TRINITY_DN34582_c0_g1_i5 307 0
TRINITY_DN3458_c0_g1_i8 3061 9
TRINITY_DN34645_c0_g1_i2 313 5
TRINITY_DN3465_c0_g1_i2 2380 9
TRINITY_DN3466_c0_g1_i3 745 5
TRINITY_DN34677_c0_g1_i4 355 0
TRINITY_DN3467_c0_g1_i1 1510 23
TRINITY_DN3468_c1_g3_i3 457 3
TRINITY_DN3469_c0_g1_i10 664 12
TRINITY_DN346_c10_g1_i5 1282 55
TRINITY_DN346_c3_g1_i4 2644 1
TRINITY_DN34701_c0_g1_i1 373 3
TRINITY_DN34742_c0_g1_i3 1033 0
TRINITY_DN34765_c2_g1_i1 394 0
TRINITY_DN3478_c0_g1_i7 598 6
TRINITY_DN3478_c0_g2_i5 916 18
TRINITY_DN347_c0_g2_i2 1855 5
TRINITY_DN348038_c0_g1_i1 370 0
TRINITY_DN34813_c0_g1_i14 1171 1
TRINITY_DN3483_c0_g1_i6 394 2
TRINITY_DN3483_c1_g1_i1 475 14
TRINITY_DN34848_c0_g1_i1 313 6
TRINITY_DN3486_c0_g7_i2 1573 3
TRINITY_DN34872_c0_g1_i2 1099 1
TRINITY_DN34875_c0_g1_i6 4087 0
TRINITY_DN3491_c0_g2_i6 568 16
TRINITY_DN3492_c0_g2_i1 319 0
TRINITY_DN34943_c0_g3_i1 304 0
TRINITY_DN3494_c0_g1_i6 793 12
TRINITY_DN34961_c1_g1_i11 589 12
TRINITY_DN34993_c0_g1_i2 397 2
TRINITY_DN34993_c1_g1_i3 508 6
TRINITY_DN3499_c0_g1_i2 1915 46
TRINITY_DN3499_c6_g3_i1 766 0
TRINITY_DN34_c2_g2_i1 772 1
TRINITY_DN34_c2_g3_i3 1801 2
TRINITY_DN34_c4_g1_i2 946 37
TRINITY_DN3500_c0_g1_i2 1675 0
TRINITY_DN35041_c0_g2_i1 307 4
TRINITY_DN35053_c0_g1_i2 502 2
TRINITY_DN35053_c0_g2_i7 415 0
TRINITY_DN35054_c0_g1_i3 988 1
TRINITY_DN35080_c0_g1_i1 310 0
TRINITY_DN35082_c1_g1_i1 301 4
TRINITY_DN35096_c0_g1_i1 355 12
TRINITY_DN350_c0_g1_i30 1183 6
TRINITY_DN350_c0_g2_i2 2431 1
TRINITY_DN35114_c0_g1_i3 1102 18
TRINITY_DN3511_c0_g1_i8 2704 60
TRINITY_DN35121_c0_g1_i11 586 0
TRINITY_DN35177_c0_g1_i4 487 5
TRINITY_DN351_c1_g1_i14 430 10
TRINITY_DN351_c5_g1_i1 1177 29
TRINITY_DN35217_c0_g1_i7 586 2
TRINITY_DN3521_c1_g1_i2 5221 0
TRINITY_DN3523_c0_g1_i6 376 0
TRINITY_DN3523_c1_g1_i7 697 19
TRINITY_DN35243_c0_g1_i4 439 0
TRINITY_DN35270_c1_g1_i8 412 12
TRINITY_DN35278_c0_g1_i4 1696 5
TRINITY_DN352_c0_g1_i13 1741 49
TRINITY_DN3530_c0_g1_i7 5188 208
TRINITY_DN3530_c2_g1_i4 3277 24
TRINITY_DN3531_c0_g1_i4 5170 39
TRINITY_DN3533_c0_g1_i6 1126 19
TRINITY_DN35340_c0_g2_i7 760 0
TRINITY_DN35345_c0_g1_i1 496 0
TRINITY_DN35345_c0_g2_i1 424 9
TRINITY_DN35345_c0_g5_i1 325 0
TRINITY_DN35348_c0_g1_i2 430 17
TRINITY_DN35396_c0_g1_i2 1483 1
TRINITY_DN35396_c0_g2_i10 1714 4
TRINITY_DN353_c0_g2_i3 454 0
TRINITY_DN35420_c0_g1_i2 367 9
TRINITY_DN3543_c0_g1_i3 1915 53
TRINITY_DN35450_c0_g1_i3 1252 23
TRINITY_DN35454_c0_g1_i13 571 0
TRINITY_DN35466_c0_g1_i4 427 0
TRINITY_DN35470_c0_g1_i2 925 0
TRINITY_DN3548_c0_g1_i5 454 26
TRINITY_DN35494_c0_g2_i8 2371 0
TRINITY_DN35506_c0_g1_i8 484 1
TRINITY_DN3552_c0_g2_i5 4066 0
TRINITY_DN3554_c0_g1_i1 595 1
TRINITY_DN35572_c0_g1_i2 349 0
TRINITY_DN355_c0_g1_i9 391 0
TRINITY_DN3566_c0_g1_i1 304 13
TRINITY_DN3569_c0_g1_i7 604 8
TRINITY_DN356_c0_g1_i1 1384 0
TRINITY_DN356_c1_g1_i8 3013 0
TRINITY_DN35715_c0_g1_i5 394 0
TRINITY_DN3571_c0_g1_i6 1216 0
TRINITY_DN35743_c0_g1_i2 544 3
TRINITY_DN35761_c0_g1_i3 457 13
TRINITY_DN35762_c0_g1_i2 1411 1
TRINITY_DN3576_c1_g1_i9 616 9
TRINITY_DN3578_c0_g1_i3 871 0
TRINITY_DN35816_c0_g1_i1 649 21
TRINITY_DN3584_c0_g1_i5 802 10
TRINITY_DN35864_c0_g1_i1 2068 2
TRINITY_DN35864_c0_g2_i4 685 7
TRINITY_DN35928_c0_g1_i2 679 29
TRINITY_DN3592_c0_g1_i5 892 19
TRINITY_DN35934_c0_g1_i1 508 0
TRINITY_DN35944_c0_g2_i11 1060 0
TRINITY_DN35945_c0_g1_i4 457 17
TRINITY_DN3594_c0_g1_i4 6406 3
TRINITY_DN35967_c0_g2_i3 628 0
TRINITY_DN3596_c0_g1_i4 310 0
TRINITY_DN3596_c0_g2_i5 859 35
TRINITY_DN35989_c0_g1_i3 733 33
TRINITY_DN3598_c1_g1_i5 760 32
TRINITY_DN359_c0_g1_i13 559 3
TRINITY_DN36003_c0_g1_i1 355 8
TRINITY_DN36019_c0_g1_i1 319 12
TRINITY_DN36025_c0_g1_i2 436 8
TRINITY_DN3602_c0_g3_i1 475 10
TRINITY_DN3602_c2_g1_i1 1867 17
TRINITY_DN36052_c0_g1_i3 535 1
TRINITY_DN36071_c0_g2_i1 385 0
TRINITY_DN36095_c0_g3_i1 508 14
TRINITY_DN3609_c1_g1_i18 1111 34
TRINITY_DN3609_c1_g2_i1 1159 24
TRINITY_DN3609_c3_g1_i1 754 0
TRINITY_DN3610_c0_g1_i3 1459 2
TRINITY_DN3610_c1_g1_i1 1792 16
TRINITY_DN3612_c0_g2_i1 1225 1
TRINITY_DN3612_c1_g1_i5 523 9
TRINITY_DN36137_c0_g1_i2 370 11
TRINITY_DN3614_c0_g2_i4 310 0
TRINITY_DN3615_c0_g2_i1 1927 3
TRINITY_DN36199_c0_g1_i4 3292 1
TRINITY_DN361_c0_g1_i4 1057 2
TRINITY_DN36234_c0_g1_i3 673 0
TRINITY_DN3625_c0_g3_i1 400 8
TRINITY_DN36270_c0_g1_i2 439 0
TRINITY_DN3629_c1_g1_i1 409 0
TRINITY_DN362_c1_g1_i2 1252 0
TRINITY_DN362_c4_g2_i1 508 1
TRINITY_DN362_c5_g1_i4 766 19
TRINITY_DN36335_c1_g1_i1 457 0
TRINITY_DN3633_c0_g1_i11 4315 0
TRINITY_DN36353_c0_g1_i4 3508 0
TRINITY_DN36357_c0_g1_i11 556 13
TRINITY_DN36370_c0_g2_i1 448 0
TRINITY_DN36373_c0_g1_i4 394 4
TRINITY_DN36373_c0_g2_i1 370 15
TRINITY_DN36373_c1_g1_i1 391 1
TRINITY_DN3637_c0_g1_i1 745 9
TRINITY_DN3641_c0_g3_i2 916 0
TRINITY_DN3643_c0_g1_i3 454 0
TRINITY_DN3643_c8_g1_i1 448 1
TRINITY_DN3644_c0_g1_i13 1360 0
TRINITY_DN3645_c1_g1_i1 442 4
TRINITY_DN3646_c1_g2_i1 1672 0
TRINITY_DN3648_c1_g1_i1 466 10
TRINITY_DN36509_c0_g1_i3 577 0
TRINITY_DN36511_c0_g1_i1 1066 2
TRINITY_DN3652_c0_g1_i5 436 11
TRINITY_DN36540_c1_g1_i2 577 0
TRINITY_DN3654_c0_g1_i6 1273 26
TRINITY_DN3654_c1_g1_i7 967 30
TRINITY_DN36576_c0_g4_i1 601 0
TRINITY_DN36596_c0_g1_i1 397 9
TRINITY_DN365_c0_g1_i1 1276 33
TRINITY_DN36618_c0_g1_i2 316 13
TRINITY_DN36625_c0_g1_i1 400 3
TRINITY_DN3663_c0_g1_i1 1351 24
TRINITY_DN3663_c1_g1_i5 538 15
TRINITY_DN36645_c0_g1_i1 304 6
TRINITY_DN36657_c0_g1_i7 2032 0
TRINITY_DN3665_c0_g1_i2 319 14
TRINITY_DN36675_c0_g1_i1 340 0
TRINITY_DN36690_c0_g1_i2 478 0
TRINITY_DN36740_c0_g1_i2 439 1
TRINITY_DN3676_c0_g1_i5 427 28
TRINITY_DN3676_c0_g2_i1 385 6
TRINITY_DN3676_c0_g3_i2 487 5
TRINITY_DN3680_c0_g1_i3 709 35
TRINITY_DN3683_c0_g1_i6 1549 0
TRINITY_DN3683_c1_g1_i12 1063 38
TRINITY_DN36840_c0_g1_i1 1363 3
TRINITY_DN3685_c1_g2_i1 17131 4
TRINITY_DN3686_c0_g3_i1 1450 1
TRINITY_DN3688_c0_g1_i10 4198 0
TRINITY_DN368_c0_g1_i1 1699 3
TRINITY_DN368_c4_g1_i5 1189 16
TRINITY_DN36906_c0_g1_i1 562 0
TRINITY_DN36917_c0_g1_i1 394 8
TRINITY_DN3691_c0_g1_i6 1309 0
TRINITY_DN3691_c0_g2_i13 1309 2
TRINITY_DN36955_c0_g1_i1 496 0
TRINITY_DN3697_c0_g1_i1 991 0
TRINITY_DN36983_c0_g1_i3 862 1
TRINITY_DN36999_c0_g1_i8 769 0
TRINITY_DN3699_c0_g1_i5 955 25
TRINITY_DN369_c0_g1_i4 454 16
TRINITY_DN369_c4_g1_i2 664 0
TRINITY_DN37017_c0_g1_i10 358 13
TRINITY_DN3705_c0_g1_i11 901 34
TRINITY_DN3705_c0_g2_i6 958 16
TRINITY_DN37070_c0_g1_i9 499 0
TRINITY_DN37078_c0_g1_i4 358 9
TRINITY_DN37079_c0_g1_i1 481 20
TRINITY_DN370_c1_g1_i1 322 0
TRINITY_DN370_c1_g2_i2 1828 2
TRINITY_DN370_c1_g3_i1 2293 1
TRINITY_DN37107_c0_g1_i1 1174 25
TRINITY_DN37136_c0_g1_i4 610 28
TRINITY_DN37150_c0_g1_i5 328 0
TRINITY_DN371_c0_g1_i17 9358 9
TRINITY_DN371_c1_g1_i6 2002 88
TRINITY_DN37216_c0_g1_i5 358 17
TRINITY_DN3721_c0_g1_i7 1351 51
TRINITY_DN3721_c1_g1_i2 613 12
TRINITY_DN3721_c1_g2_i2 388 0
TRINITY_DN3722_c0_g1_i1 5269 46
TRINITY_DN37241_c0_g1_i1 349 1
TRINITY_DN3727_c0_g1_i6 892 29
TRINITY_DN37302_c0_g1_i1 415 14
TRINITY_DN3733_c0_g1_i14 1240 43
TRINITY_DN3733_c1_g1_i7 1468 6
TRINITY_DN37351_c0_g1_i5 661 0
TRINITY_DN37364_c0_g1_i5 310 14
TRINITY_DN37397_c0_g1_i7 355 0
TRINITY_DN3739_c0_g1_i6 2143 14
TRINITY_DN37453_c0_g1_i16 514 1
TRINITY_DN3745_c0_g1_i6 1327 24
TRINITY_DN37492_c0_g1_i1 361 0
TRINITY_DN3749_c0_g1_i8 1921 0
TRINITY_DN37551_c0_g1_i10 667 0
TRINITY_DN3755_c0_g2_i3 1492 0
TRINITY_DN3758_c0_g1_i12 1216 8
TRINITY_DN37594_c0_g4_i1 445 0
TRINITY_DN375_c28_g2_i2 700 2
TRINITY_DN3763_c0_g2_i2 871 0
TRINITY_DN37677_c1_g1_i7 1717 0
TRINITY_DN3769_c0_g2_i2 490 2
TRINITY_DN376_c0_g2_i4 331 1
TRINITY_DN376_c1_g1_i3 1198 0
TRINITY_DN37831_c0_g1_i2 340 0
TRINITY_DN37895_c0_g1_i3 1117 0
TRINITY_DN3790_c0_g3_i1 385 3
TRINITY_DN3790_c0_g4_i2 502 1
TRINITY_DN37971_c0_g1_i2 580 17
TRINITY_DN37973_c0_g1_i1 331 2
TRINITY_DN37981_c0_g1_i1 316 2
TRINITY_DN3798_c0_g2_i8 790 1
TRINITY_DN3798_c3_g1_i1 2392 37
TRINITY_DN37994_c0_g1_i2 475 1
TRINITY_DN37_c1_g1_i1 6754 1
TRINITY_DN3800_c0_g1_i8 640 6
TRINITY_DN3800_c2_g1_i1 964 7
TRINITY_DN38032_c0_g1_i2 775 0
TRINITY_DN38039_c0_g1_i3 2548 0
TRINITY_DN3805_c0_g1_i1 1684 32
TRINITY_DN3805_c0_g3_i3 553 0
TRINITY_DN38076_c0_g1_i4 340 7
TRINITY_DN38098_c0_g1_i5 505 2
TRINITY_DN380_c0_g1_i2 1168 4
TRINITY_DN38127_c0_g1_i1 343 0
TRINITY_DN3814_c0_g1_i12 2119 40
TRINITY_DN3814_c0_g2_i1 487 2
TRINITY_DN3815_c0_g1_i9 7555 6
TRINITY_DN3817_c0_g3_i2 1351 8
TRINITY_DN3818_c1_g1_i3 718 16
TRINITY_DN3827_c0_g1_i3 1786 0
TRINITY_DN38314_c0_g1_i1 310 0
TRINITY_DN3831_c0_g1_i12 1636 7
TRINITY_DN3831_c0_g2_i5 2554 1
TRINITY_DN38326_c0_g2_i1 307 0
TRINITY_DN3832_c2_g2_i3 454 19
TRINITY_DN3832_c3_g1_i13 739 22
TRINITY_DN38330_c0_g1_i2 379 0
TRINITY_DN38336_c0_g1_i1 1393 0
TRINITY_DN3834_c0_g1_i14 847 37
TRINITY_DN38361_c0_g2_i4 304 0
TRINITY_DN38378_c0_g1_i1 505 0
TRINITY_DN383_c2_g1_i7 2029 61
TRINITY_DN3840_c0_g1_i9 1174 44
TRINITY_DN3844_c0_g1_i15 874 39
TRINITY_DN3844_c1_g1_i3 391 6
TRINITY_DN3845_c0_g1_i2 994 45
TRINITY_DN38460_c0_g1_i1 310 9
TRINITY_DN38519_c0_g1_i1 364 11
TRINITY_DN3853_c1_g1_i1 478 14
TRINITY_DN3859_c0_g1_i3 742 11
TRINITY_DN3860_c1_g1_i1 1309 0
TRINITY_DN38627_c0_g1_i1 310 7
TRINITY_DN38667_c0_g1_i2 352 0
TRINITY_DN3866_c0_g1_i1 1198 40
TRINITY_DN3867_c0_g1_i7 685 17
TRINITY_DN38713_c0_g1_i2 1126 0
TRINITY_DN38717_c0_g1_i1 298 10
TRINITY_DN38728_c0_g3_i2 457 0
TRINITY_DN38744_c0_g1_i6 442 2
TRINITY_DN38753_c2_g1_i2 1057 0
TRINITY_DN38786_c0_g1_i5 1183 0
TRINITY_DN387_c0_g1_i4 1489 31
TRINITY_DN38820_c0_g1_i6 1423 13
TRINITY_DN38833_c0_g1_i4 439 22
TRINITY_DN38880_c0_g1_i3 310 11
TRINITY_DN388_c0_g2_i2 544 4
TRINITY_DN388_c3_g1_i2 6673 1
TRINITY_DN38903_c0_g1_i5 382 7
TRINITY_DN38903_c0_g3_i1 373 16
TRINITY_DN38911_c0_g1_i4 325 0
TRINITY_DN3893_c0_g1_i9 886 20
TRINITY_DN3894_c0_g1_i4 5875 0
TRINITY_DN3895_c0_g1_i6 1603 10
TRINITY_DN3895_c0_g2_i1 2908 0
TRINITY_DN38970_c0_g3_i1 544 0
TRINITY_DN3899_c0_g1_i7 532 0
TRINITY_DN3899_c0_g2_i9 598 10
TRINITY_DN389_c0_g1_i3 1447 26
TRINITY_DN38_c0_g4_i3 931 0
TRINITY_DN39011_c0_g1_i10 346 0
TRINITY_DN3902_c0_g1_i7 1486 81
TRINITY_DN3903_c1_g1_i3 544 0
TRINITY_DN3903_c1_g2_i5 913 18
TRINITY_DN39045_c0_g3_i4 2173 0
TRINITY_DN39074_c1_g1_i1 448 0
TRINITY_DN39080_c1_g1_i2 1606 0
TRINITY_DN3909_c0_g1_i1 886 31
TRINITY_DN3909_c0_g2_i2 472 2
TRINITY_DN390_c0_g1_i1 2353 18
TRINITY_DN390_c0_g3_i1 1414 34
TRINITY_DN390_c1_g1_i5 2407 17
TRINITY_DN39147_c0_g1_i2 1555 4
TRINITY_DN3915_c3_g1_i1 685 12
TRINITY_DN39169_c0_g1_i13 2740 0
TRINITY_DN39171_c0_g1_i6 679 7
TRINITY_DN3917_c0_g1_i1 1774 41
TRINITY_DN3919_c0_g1_i21 1396 45
TRINITY_DN391_c0_g2_i6 1237 5
TRINITY_DN3923_c0_g2_i2 457 1
TRINITY_DN39251_c0_g1_i2 394 0
TRINITY_DN39253_c0_g1_i1 421 14
TRINITY_DN39255_c0_g1_i2 331 10
TRINITY_DN392_c3_g1_i3 886 24
TRINITY_DN3931_c0_g2_i3 325 9
TRINITY_DN39344_c0_g1_i2 529 0
TRINITY_DN39351_c0_g2_i1 304 0
TRINITY_DN3937_c1_g1_i1 820 1
TRINITY_DN39387_c0_g4_i1 322 0
TRINITY_DN393_c0_g2_i2 2452 1
TRINITY_DN39401_c0_g1_i10 1546 41
TRINITY_DN39401_c0_g2_i2 1519 25
TRINITY_DN39401_c2_g1_i2 757 5
TRINITY_DN3942_c0_g1_i4 352 19
TRINITY_DN39441_c0_g1_i11 1318 8
TRINITY_DN39451_c0_g1_i5 370 0
TRINITY_DN3945_c0_g1_i5 1585 1
TRINITY_DN39463_c0_g1_i3 571 0
TRINITY_DN39465_c0_g1_i1 592 19
TRINITY_DN394_c0_g4_i1 307 0
TRINITY_DN3952_c0_g1_i11 2503 24
TRINITY_DN3954_c0_g1_i3 802 2
TRINITY_DN39572_c0_g1_i5 313 6
TRINITY_DN3957_c0_g1_i4 313 0
TRINITY_DN395_c0_g3_i1 2224 2
TRINITY_DN395_c0_g5_i1 820 16
TRINITY_DN39608_c0_g1_i1 304 0
TRINITY_DN39612_c0_g1_i4 2347 0
TRINITY_DN39637_c0_g1_i15 1264 0
TRINITY_DN39670_c0_g1_i3 436 0
TRINITY_DN396_c0_g2_i1 2305 1
TRINITY_DN396_c1_g1_i9 1264 43
TRINITY_DN396_c1_g2_i14 697 0
TRINITY_DN3972_c0_g1_i2 2179 9
TRINITY_DN39748_c0_g1_i2 349 4
TRINITY_DN397_c0_g1_i2 433 0
TRINITY_DN3980_c0_g1_i7 1111 27
TRINITY_DN3982_c0_g1_i1 334 12
TRINITY_DN3982_c0_g2_i8 757 12
TRINITY_DN39835_c0_g1_i1 1876 1
TRINITY_DN3989_c0_g1_i2 838 31
TRINITY_DN398_c1_g1_i4 1279 28
TRINITY_DN3992_c0_g3_i1 373 6
TRINITY_DN3993_c0_g1_i3 403 1
TRINITY_DN39948_c0_g2_i2 562 0
TRINITY_DN39981_c0_g1_i4 418 3
TRINITY_DN39986_c0_g1_i2 331 7
TRINITY_DN3999_c0_g1_i10 1684 24
TRINITY_DN3_c1_g1_i3 3316 4
TRINITY_DN4002_c1_g2_i1 421 1
TRINITY_DN4005_c1_g1_i2 1594 30
TRINITY_DN40065_c0_g1_i10 457 0
TRINITY_DN40065_c1_g1_i3 463 0
TRINITY_DN4007_c0_g1_i5 1252 1
TRINITY_DN4008_c0_g2_i1 322 0
TRINITY_DN40096_c1_g3_i1 685 0
TRINITY_DN40098_c0_g3_i2 337 0
TRINITY_DN400_c3_g1_i1 1486 0
TRINITY_DN4010_c0_g1_i1 1042 1
TRINITY_DN4010_c1_g1_i2 736 0
TRINITY_DN4011_c0_g1_i2 361 5
TRINITY_DN4017_c1_g1_i3 4609 0
TRINITY_DN40190_c1_g1_i3 328 9
TRINITY_DN40191_c1_g1_i1 397 4
TRINITY_DN40194_c0_g2_i1 325 11
TRINITY_DN401_c2_g1_i2 871 0
TRINITY_DN4020_c0_g1_i2 1798 33
TRINITY_DN40221_c0_g1_i1 1294 0
TRINITY_DN40236_c0_g1_i3 403 12
TRINITY_DN40243_c0_g1_i6 1111 0
TRINITY_DN4026_c0_g1_i2 745 3
TRINITY_DN4026_c0_g2_i4 568 1
TRINITY_DN4026_c0_g3_i1 364 14
TRINITY_DN40308_c0_g1_i14 4327 0
TRINITY_DN40316_c0_g1_i9 337 0
TRINITY_DN40325_c0_g1_i3 373 0
TRINITY_DN40339_c0_g1_i1 421 2
TRINITY_DN4034_c0_g1_i8 562 1
TRINITY_DN4034_c1_g1_i4 373 7
TRINITY_DN4036_c0_g1_i5 4165 129
TRINITY_DN403_c1_g1_i13 1402 59
TRINITY_DN40408_c0_g1_i4 1012 2
TRINITY_DN4040_c1_g3_i2 1402 54
TRINITY_DN40410_c0_g2_i3 1126 0
TRINITY_DN40425_c0_g1_i1 349 0
TRINITY_DN40449_c0_g1_i3 1132 20
TRINITY_DN40463_c0_g1_i5 424 2
TRINITY_DN4047_c1_g2_i1 4078 0
TRINITY_DN40594_c0_g1_i8 460 12
TRINITY_DN40600_c0_g2_i1 619 0
TRINITY_DN40673_c0_g4_i1 316 0
TRINITY_DN40688_c0_g1_i1 361 1
TRINITY_DN40696_c0_g1_i4 628 6
TRINITY_DN406_c0_g2_i1 610 4
TRINITY_DN406_c2_g1_i6 442 0
TRINITY_DN406_c4_g3_i2 454 7
TRINITY_DN4072_c0_g1_i4 322 8
TRINITY_DN40734_c0_g1_i4 1378 48
TRINITY_DN4075_c1_g2_i1 514 0
TRINITY_DN4077_c0_g1_i6 1291 8
TRINITY_DN40780_c0_g2_i1 358 7
TRINITY_DN40781_c0_g2_i1 658 32
TRINITY_DN4078_c0_g1_i4 304 1
TRINITY_DN407_c0_g1_i3 1813 38
TRINITY_DN4080_c0_g1_i2 1012 0
TRINITY_DN4080_c1_g1_i5 1831 0
TRINITY_DN40836_c1_g1_i4 694 0
TRINITY_DN4085_c0_g1_i1 1603 1
TRINITY_DN4086_c0_g1_i5 343 0
TRINITY_DN40902_c0_g1_i2 526 11
TRINITY_DN40952_c0_g1_i1 358 1
TRINITY_DN40958_c0_g1_i1 337 13
TRINITY_DN4098_c1_g1_i2 958 0
TRINITY_DN4100_c2_g1_i3 898 35
TRINITY_DN4101_c0_g1_i4 568 13
TRINITY_DN41025_c0_g1_i4 325 13
TRINITY_DN41027_c0_g1_i1 1399 14
TRINITY_DN41033_c0_g1_i2 382 0
TRINITY_DN4103_c0_g1_i6 1207 0
TRINITY_DN41052_c0_g2_i2 1015 1
TRINITY_DN41059_c0_g1_i3 841 0
TRINITY_DN4105_c1_g1_i7 778 10
TRINITY_DN41083_c0_g1_i2 550 0
TRINITY_DN41094_c0_g1_i1 451 1
TRINITY_DN41097_c0_g1_i1 538 0
TRINITY_DN410_c0_g1_i16 883 0
TRINITY_DN41115_c0_g1_i3 1087 0
TRINITY_DN4111_c0_g2_i2 3172 1
TRINITY_DN41149_c0_g2_i2 1345 0
TRINITY_DN4118_c1_g3_i4 466 2
TRINITY_DN41190_c0_g1_i1 316 0
TRINITY_DN41191_c0_g1_i4 397 10
TRINITY_DN41204_c0_g5_i4 1078 0
TRINITY_DN41241_c0_g1_i2 523 0
TRINITY_DN41241_c0_g3_i1 343 0
TRINITY_DN41251_c0_g1_i3 442 0
TRINITY_DN41259_c0_g1_i2 418 14
TRINITY_DN4125_c0_g1_i1 322 0
TRINITY_DN4129_c0_g1_i2 679 31
TRINITY_DN41302_c0_g1_i13 3451 2
TRINITY_DN4131_c0_g1_i5 499 0
TRINITY_DN41351_c0_g2_i4 328 10
TRINITY_DN41382_c1_g1_i8 316 10
TRINITY_DN41398_c0_g1_i2 403 0
TRINITY_DN413_c1_g1_i3 7789 13
TRINITY_DN4140_c0_g1_i6 511 10
TRINITY_DN4144_c0_g1_i5 1105 40
TRINITY_DN4145_c0_g2_i2 415 1
TRINITY_DN4145_c0_g3_i3 568 0
TRINITY_DN41475_c0_g1_i4 394 0
TRINITY_DN4148_c0_g1_i4 2053 88
TRINITY_DN4149_c0_g2_i10 406 1
TRINITY_DN41514_c1_g1_i1 361 0
TRINITY_DN4151_c0_g1_i10 1852 93
