OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS
OG0004449 general 0.1513 0.015 0.0020 0.0130 general 0.1513 0.011 0.0014 0.0094 general 0.1513 0.011 0.0015 0.0098
OG0004450 general 0.4214 0.069 0.0175 0.0414 general 0.4214 0.041 0.0106 0.0251 general 0.4214 0.119 0.0304 0.0721
OG0004451 general 0.0276 0.014 0.0005 0.0164 general 0.0276 0.009 0.0003 0.0104 general 0.0276 0.013 0.0004 0.0163
OG0004452 general 0.2272 0.012 0.0024 0.0104 general 0.2272 0.008 0.0015 0.0068 general 0.2272 0.042 0.0080 0.0354
OG0004453 general 0.0889 0.003 0.0003 0.0028 general 0.0889 0.002 0.0002 0.0022 general 0.0889 0.000 0.0000 0.0000
OG0004454 general 0.0284 0.005 0.0004 0.0147 general 0.0284 0.003 0.0003 0.0089 general 0.0284 0.018 0.0014 0.0504
OG0004455 alternative 1.6489 0.012 0.0043 0.0026 alternative 0.2198 0.025 0.0055 0.0250 alternative 0.0919 0.066 0.0092 0.1002
OG0004457 general 0.1726 0.023 0.0034 0.0194 general 0.1726 0.054 0.0078 0.0452 general 0.1726 0.003 0.0004 0.0021
OG0004458 general 0.2028 0.008 0.0014 0.0069 general 0.2028 0.007 0.0012 0.0061 general 0.2028 0.015 0.0027 0.0132
OG0004460 general 0.0536 0.009 0.0007 0.0127 general 0.0536 0.036 0.0028 0.0528 general 0.0536 0.042 0.0034 0.0627
OG0004461 general 0.0468 0.005 0.0003 0.0059 general 0.0468 0.015 0.0009 0.0189 general 0.0468 0.000 0.0000 0.0000
OG0004462 general 0.0498 0.004 0.0003 0.0064 general 0.0498 0.010 0.0007 0.0145 general 0.0498 0.002 0.0001 0.0028
OG0004463 general 0.1278 0.009 0.0014 0.0108 general 0.1278 0.006 0.0009 0.0069 general 0.1278 0.021 0.0033 0.0254
OG0004464 general 0.1519 0.004 0.0007 0.0045 general 0.1519 0.015 0.0025 0.0165 general 0.1519 0.010 0.0018 0.0115
OG0004465 general 0.0192 0.003 0.0001 0.0046 general 0.0192 0.003 0.0001 0.0038 general 0.0192 0.009 0.0002 0.0124
OG0004466 general 0.1223 0.013 0.0018 0.0144 general 0.1223 0.000 0.0000 0.0000 general 0.1223 0.009 0.0013 0.0105
OG0004467 general 0.0792 0.008 0.0007 0.0092 general 0.0792 0.006 0.0006 0.0075 general 0.0792 0.019 0.0019 0.0235
OG0004468 general 0.2701 0.018 0.0036 0.0131 general 0.2701 0.005 0.0010 0.0037 general 0.2701 0.059 0.0119 0.0441
OG0004469 general 0.0309 0.009 0.0005 0.0156 general 0.0309 0.006 0.0003 0.0102 general 0.0309 0.019 0.0010 0.0311
OG0004471 general 0.1288 0.007 0.0009 0.0067 general 0.1288 0.007 0.0009 0.0069 general 0.1288 0.008 0.0010 0.0079
OG0004473 alternative 0.6360 0.010 0.0030 0.0047 alternative 0.4186 0.012 0.0029 0.0069 alternative 0.1235 0.040 0.0046 0.0373
OG0004474 general 0.0319 0.000 0.0000 0.0000 general 0.0319 0.013 0.0011 0.0338 general 0.0319 0.014 0.0011 0.0357
OG0004475 general 0.1688 0.012 0.0024 0.0144 general 0.1688 0.018 0.0036 0.0214 general 0.1688 0.031 0.0063 0.0371
OG0004476 general 0.2213 0.064 0.0122 0.0550 general 0.2213 0.006 0.0012 0.0056 general 0.2213 0.072 0.0137 0.0618
OG0004477 general 0.2579 0.006 0.0011 0.0042 general 0.2579 0.011 0.0021 0.0082 general 0.2579 0.017 0.0033 0.0127
OG0004479 general 0.2667 0.010 0.0019 0.0070 general 0.2667 0.017 0.0033 0.0125 general 0.2667 0.072 0.0138 0.0518
OG0004480 general 0.2059 0.005 0.0008 0.0037 general 0.2059 0.008 0.0012 0.0061 general 0.2059 0.000 0.0000 0.0000
OG0004481 general 0.2737 0.040 0.0087 0.0316 general 0.2737 0.025 0.0054 0.0198 general 0.2737 0.037 0.0079 0.0288
OG0004482 general 0.2244 0.024 0.0050 0.0224 general 0.2244 0.013 0.0028 0.0123 general 0.2244 0.034 0.0073 0.0326
OG0004483 alternative 0.1674 0.057 0.0120 0.0715 alternative 0.1076 0.004 0.0006 0.0056 alternative 0.0463 0.044 0.0043 0.0932
OG0004484 alternative 0.3766 0.019 0.0048 0.0128 alternative 0.4284 0.044 0.0120 0.0280 alternative 0.0514 0.025 0.0020 0.0388
OG0004485 general 0.1809 0.015 0.0023 0.0129 general 0.1809 0.006 0.0010 0.0056 general 0.1809 0.025 0.0039 0.0217
OG0004486 general 0.0255 0.006 0.0002 0.0086 general 0.0255 0.003 0.0001 0.0053 general 0.0255 0.016 0.0006 0.0249
OG0004487 general 0.0502 0.017 0.0017 0.0342 general 0.0502 0.014 0.0014 0.0284 general 0.0502 0.028 0.0027 0.0546
OG0004488 alternative 0.1571 0.562 0.1032 0.6572 alternative 0.1529 0.019 0.0035 0.0227 alternative 0.1224 0.024 0.0038 0.0314
OG0004490 alternative 0.0835 0.008 0.0007 0.0083 alternative 0.0259 0.007 0.0002 0.0083 alternative 0.4001 0.063 0.0153 0.0383
OG0004491 alternative 0.1613 0.003 0.0007 0.0042 alternative 0.0863 0.012 0.0018 0.0203 alternative 0.0549 0.023 0.0025 0.0458
OG0004493 general 0.0375 0.016 0.0012 0.0314 general 0.0375 0.018 0.0013 0.0355 general 0.0375 0.026 0.0019 0.0497
OG0004494 general 0.0331 0.008 0.0003 0.0087 general 0.0331 0.008 0.0003 0.0093 general 0.0331 0.007 0.0003 0.0083
OG0004495 general 0.0512 0.013 0.0009 0.0182 general 0.0512 0.007 0.0005 0.0101 general 0.0512 0.042 0.0029 0.0568
OG0004496 general 0.4680 0.013 0.0032 0.0067 general 0.4680 0.015 0.0037 0.0079 general 0.4680 0.013 0.0032 0.0069
OG0004499 general 0.0348 0.005 0.0004 0.0115 general 0.0348 0.009 0.0008 0.0218 general 0.0348 0.067 0.0054 0.1558
OG0004502 general 0.3673 0.138 0.0333 0.0907 general 0.3673 0.010 0.0025 0.0069 general 0.3673 0.033 0.0081 0.0220
OG0004503 general 0.1477 0.014 0.0025 0.0167 general 0.1477 0.010 0.0018 0.0121 general 0.1477 0.019 0.0033 0.0224
OG0004504 general 0.0223 0.011 0.0004 0.0158 general 0.0223 0.007 0.0002 0.0103 general 0.0223 0.033 0.0010 0.0455
OG0004505 general 0.0648 0.009 0.0011 0.0177 general 0.0648 0.030 0.0036 0.0560 general 0.0648 0.009 0.0011 0.0171
OG0004506 general 0.1414 0.008 0.0011 0.0079 general 0.1414 0.014 0.0021 0.0146 general 0.1414 0.030 0.0044 0.0312
OG0004507 general 0.0146 0.010 0.0002 0.0154 general 0.0146 0.008 0.0002 0.0125 general 0.0146 0.004 0.0001 0.0055
OG0004508 general 0.1177 0.001 0.0001 0.0012 general 0.1177 0.010 0.0015 0.0129 general 0.1177 0.009 0.0014 0.0121
OG0004510 alternative 0.0001 0.008 0.0000 0.0148 alternative 0.0173 0.010 0.0003 0.0162 alternative 0.3661 0.007 0.0017 0.0045
OG0004511 general 0.1063 0.018 0.0021 0.0198 general 0.1063 0.016 0.0018 0.0172 general 0.1063 0.047 0.0054 0.0512
OG0004512 general 0.1038 0.011 0.0013 0.0130 general 0.1038 0.013 0.0017 0.0165 general 0.1038 0.070 0.0089 0.0856
OG0004513 alternative 0.4425 0.104 0.0270 0.0610 alternative 0.2884 0.908 0.1939 0.6724 alternative 16.2527 0.000 0.0000 0.0000
OG0004515 general 0.0255 0.011 0.0003 0.0132 general 0.0255 0.013 0.0004 0.0158 general 0.0255 0.033 0.0010 0.0401
OG0004516 general 0.0389 0.017 0.0008 0.0217 general 0.0389 0.000 0.0000 0.0000 general 0.0389 0.000 0.0000 0.0000
OG0004517 general 0.0794 0.015 0.0016 0.0200 general 0.0794 0.021 0.0022 0.0280 general 0.0794 0.039 0.0042 0.0523
OG0004518 alternative 0.5523 0.028 0.0086 0.0157 alternative 0.0331 0.033 0.0026 0.0779 alternative 0.0209 0.001 0.0000 0.0015
OG0004519 alternative 0.6034 0.363 0.1020 0.1691 alternative 0.2696 0.004 0.0008 0.0030 alternative 0.4722 0.021 0.0053 0.0111
OG0004520 general 0.2678 0.008 0.0016 0.0059 general 0.2678 0.013 0.0027 0.0100 general 0.2678 0.019 0.0037 0.0139
OG0004521 general 0.4126 0.009 0.0022 0.0054 general 0.4126 0.014 0.0034 0.0083 general 0.4126 0.023 0.0055 0.0132
OG0004522 general 0.0455 0.007 0.0004 0.0091 general 0.0455 0.004 0.0002 0.0054 general 0.0455 0.003 0.0002 0.0042
OG0004524 general 0.1693 0.017 0.0033 0.0196 general 0.1693 0.032 0.0064 0.0378 general 0.1693 0.085 0.0170 0.1006
OG0004525 general 0.1348 0.007 0.0010 0.0076 general 0.1348 0.007 0.0010 0.0074 general 0.1348 0.017 0.0024 0.0174
OG0004526 alternative 2.0952 0.000 0.0000 0.0000 alternative 0.0797 0.011 0.0010 0.0125 alternative 0.4279 0.159 0.0406 0.0949
OG0004527 general 0.3375 0.009 0.0020 0.0059 general 0.3375 0.007 0.0015 0.0044 general 0.3375 0.014 0.0031 0.0092
OG0004528 general 0.1402 0.010 0.0014 0.0096 general 0.1402 0.010 0.0014 0.0101 general 0.1402 0.000 0.0000 0.0000
OG0004529 general 0.0138 0.011 0.0003 0.0209 general 0.0138 0.002 0.0001 0.0047 general 0.0138 0.007 0.0002 0.0144
OG0004530 alternative 0.0547 0.009 0.0006 0.0104 alternative 0.1571 0.013 0.0019 0.0119 alternative 0.3661 0.193 0.0448 0.1225
OG0004531 general 0.1843 0.016 0.0036 0.0193 general 0.1843 0.006 0.0014 0.0077 general 0.1843 0.001 0.0003 0.0018
OG0004533 general 0.0377 0.017 0.0011 0.0295 general 0.0377 0.008 0.0006 0.0147 general 0.0377 0.018 0.0012 0.0318
OG0004534 alternative 0.3331 0.009 0.0020 0.0061 alternative 0.2064 0.013 0.0020 0.0097 alternative 1.4831 0.010 0.0037 0.0025
OG0004535 general 0.1131 0.003 0.0003 0.0028 general 0.1131 0.007 0.0008 0.0072 general 0.1131 0.115 0.0131 0.1154
OG0004537 alternative 0.2227 0.053 0.0108 0.0484 alternative 0.0624 0.005 0.0004 0.0065 alternative 0.0441 0.037 0.0024 0.0550
OG0004538 general 0.1427 0.010 0.0017 0.0117 general 0.1427 0.013 0.0022 0.0154 general 0.1427 0.030 0.0049 0.0345
OG0004539 alternative 0.2023 0.021 0.0036 0.0179 alternative 0.1559 0.012 0.0018 0.0118 alternative 0.1065 0.033 0.0037 0.0352
OG0004540 general 0.0238 0.004 0.0001 0.0055 general 0.0238 0.010 0.0004 0.0148 general 0.0238 0.016 0.0006 0.0254
OG0004542 general 0.3513 0.036 0.0080 0.0228 general 0.3513 0.073 0.0160 0.0456 general 0.3513 0.016 0.0034 0.0097
OG0004544 general 0.1391 0.001 0.0001 0.0008 general 0.1391 0.003 0.0004 0.0026 general 0.1391 0.003 0.0004 0.0026
OG0004545 general 0.2590 0.018 0.0034 0.0131 general 0.2590 0.015 0.0028 0.0108 general 0.2590 0.049 0.0090 0.0349
OG0004546 general 0.1925 0.006 0.0009 0.0045 general 0.1925 0.006 0.0009 0.0048 general 0.1925 0.011 0.0017 0.0090
OG0004547 general 0.0359 0.013 0.0007 0.0205 general 0.0359 0.015 0.0009 0.0242 general 0.0359 0.008 0.0005 0.0136
OG0004548 general 0.0451 0.006 0.0003 0.0061 general 0.0451 0.004 0.0002 0.0039 general 0.0451 0.010 0.0005 0.0108
OG0004549 general 0.1809 0.005 0.0007 0.0039 general 0.1809 0.008 0.0013 0.0073 general 0.1809 0.016 0.0026 0.0143
OG0004550 general 0.2458 0.008 0.0016 0.0065 general 0.2458 0.016 0.0031 0.0126 general 0.2458 0.001 0.0001 0.0004
OG0004551 alternative 0.0001 0.007 0.0000 0.0097 alternative 0.1397 0.006 0.0008 0.0055 alternative 0.4325 0.369 0.0946 0.2187
OG0004552 general 0.1496 0.001 0.0002 0.0012 general 0.1496 0.003 0.0005 0.0036 general 0.1496 0.002 0.0003 0.0018
OG0004555 general 0.0834 0.012 0.0019 0.0234 general 0.0834 0.006 0.0010 0.0126 general 0.0834 0.020 0.0033 0.0398
OG0004556 alternative 0.0445 0.011 0.0011 0.0242 alternative 0.0089 0.018 0.0004 0.0476 alternative 0.1011 0.058 0.0095 0.0942
OG0004558 general 0.1056 0.012 0.0012 0.0114 general 0.1056 0.004 0.0004 0.0038 general 0.1056 0.001 0.0001 0.0007
OG0004559 general 0.2901 0.043 0.0099 0.0341 general 0.2901 0.013 0.0029 0.0099 general 0.2901 0.058 0.0134 0.0461
OG0004560 general 0.1677 0.004 0.0006 0.0035 general 0.1677 0.004 0.0006 0.0035 general 0.1677 0.007 0.0012 0.0071
OG0004561 general 0.0269 0.014 0.0007 0.0275 general 0.0269 0.003 0.0002 0.0057 general 0.0269 0.019 0.0010 0.0378
OG0004563 general 0.0817 0.002 0.0001 0.0016 general 0.0817 0.002 0.0002 0.0022 general 0.0817 0.001 0.0001 0.0008
OG0004564 general 0.4592 0.023 0.0059 0.0129 general 0.4592 0.008 0.0022 0.0047 general 0.4592 0.027 0.0068 0.0149
OG0004565 general 0.1190 0.006 0.0010 0.0088 general 0.1190 0.008 0.0015 0.0122 general 0.1190 0.041 0.0072 0.0602
OG0004566 general 0.1649 0.008 0.0015 0.0093 general 0.1649 0.014 0.0025 0.0153 general 0.1649 0.032 0.0059 0.0356
OG0004567 general 0.0341 0.013 0.0006 0.0184 general 0.0341 0.011 0.0005 0.0154 general 0.0341 0.016 0.0007 0.0217
OG0004568 general 0.0507 0.005 0.0003 0.0054 general 0.0507 0.000 0.0000 0.0000 general 0.0507 0.002 0.0001 0.0026
OG0004569 general 0.1614 0.008 0.0011 0.0069 general 0.1614 0.010 0.0014 0.0088 general 0.1614 0.015 0.0022 0.0137
OG0004570 general 0.0319 0.009 0.0006 0.0174 general 0.0319 0.012 0.0007 0.0231 general 0.0319 0.021 0.0014 0.0429
OG0004571 alternative 0.4383 0.010 0.0027 0.0061 alternative 0.1739 0.012 0.0021 0.0122 alternative 0.1197 0.055 0.0079 0.0659
OG0004572 general 0.0854 0.005 0.0004 0.0045 general 0.0854 0.010 0.0008 0.0090 general 0.0854 0.001 0.0001 0.0008
OG0004573 alternative 0.2556 0.021 0.0051 0.0200 alternative 0.0505 0.020 0.0018 0.0366 alternative 0.1169 0.058 0.0095 0.0814
OG0004574 general 0.1226 0.015 0.0021 0.0168 general 0.1226 0.017 0.0024 0.0198 general 0.1226 0.034 0.0048 0.0391
OG0004575 alternative 0.3652 0.049 0.0115 0.0314 alternative 0.0001 0.000 0.0000 0.0000 alternative 2.0190 0.000 0.0000 0.0000
OG0004576 alternative 0.3736 0.147 0.0357 0.0954 alternative 0.0001 0.007 0.0000 0.0100 alternative 0.1477 0.040 0.0059 0.0397
OG0004577 general 0.1342 0.004 0.0006 0.0042 general 0.1342 0.013 0.0018 0.0131 general 0.1342 0.075 0.0098 0.0733
OG0004578 general 0.0918 0.007 0.0007 0.0075 general 0.0918 0.015 0.0014 0.0157 general 0.0918 0.014 0.0014 0.0148
OG0004579 general 0.1294 0.012 0.0013 0.0098 general 0.1294 0.017 0.0018 0.0139 general 0.1294 0.027 0.0029 0.0222
OG0004580 general 0.2432 0.003 0.0005 0.0022 general 0.2432 0.005 0.0009 0.0039 general 0.2432 0.010 0.0021 0.0085
OG0004581 general 0.1172 0.006 0.0008 0.0067 general 0.1172 0.010 0.0012 0.0099 general 0.1172 0.014 0.0018 0.0150
OG0004582 general 0.0414 0.004 0.0002 0.0056 general 0.0414 0.007 0.0004 0.0090 general 0.0414 0.013 0.0007 0.0165
OG0004583 alternative 0.1598 0.007 0.0013 0.0084 alternative 0.0294 0.025 0.0013 0.0448 alternative 0.1476 0.061 0.0106 0.0715
OG0004584 general 0.2766 0.006 0.0013 0.0047 general 0.2766 0.006 0.0013 0.0046 general 0.2766 0.020 0.0041 0.0147
OG0004585 general 0.0204 0.004 0.0002 0.0076 general 0.0204 0.003 0.0001 0.0052 general 0.0204 0.011 0.0004 0.0213
OG0004587 general 0.0884 0.014 0.0018 0.0204 general 0.0884 0.005 0.0007 0.0080 general 0.0884 0.045 0.0059 0.0666
OG0004588 general 0.0552 0.019 0.0011 0.0208 general 0.0552 0.003 0.0002 0.0035 general 0.0552 0.019 0.0011 0.0202
OG0004589 general 0.0798 0.005 0.0005 0.0063 general 0.0798 0.003 0.0004 0.0047 general 0.0798 0.008 0.0009 0.0111
OG0004590 general 0.1889 0.010 0.0022 0.0115 general 0.1889 0.011 0.0025 0.0132 general 0.1889 0.020 0.0044 0.0234
OG0004592 alternative 0.1300 0.013 0.0020 0.0155 alternative 0.1187 0.027 0.0040 0.0337 alternative 0.9586 0.098 0.0325 0.0339
OG0004593 alternative 0.1430 0.082 0.0170 0.1186 alternative 0.0001 0.008 0.0000 0.0264 alternative 0.0070 0.026 0.0006 0.0819
OG0004594 general 0.1141 0.008 0.0009 0.0080 general 0.1141 0.005 0.0006 0.0050 general 0.1141 0.011 0.0012 0.0109
OG0004595 general 0.0576 0.006 0.0004 0.0076 general 0.0576 0.007 0.0005 0.0080 general 0.0576 0.028 0.0019 0.0332
OG0004596 alternative 0.0001 0.011 0.0000 0.0165 alternative 0.0001 0.009 0.0000 0.0133 alternative 0.1924 0.022 0.0037 0.0194
OG0004597 general 0.0339 0.047 0.0052 0.1532 general 0.0339 0.062 0.0068 0.2019 general 0.0339 0.132 0.0145 0.4292
OG0004599 general 0.2306 0.009 0.0017 0.0072 general 0.2306 0.019 0.0034 0.0148 general 0.2306 0.003 0.0006 0.0027
OG0004600 general 0.2897 0.010 0.0020 0.0069 general 0.2897 0.027 0.0055 0.0191 general 0.2897 0.024 0.0049 0.0171
OG0004601 alternative 0.0906 0.022 0.0021 0.0231 alternative 0.4100 0.058 0.0142 0.0346 alternative 0.2648 0.050 0.0097 0.0368
OG0004603 alternative 0.9657 0.063 0.0208 0.0215 alternative 0.3228 0.005 0.0011 0.0034 alternative 0.0834 0.014 0.0013 0.0159
OG0004604 general 0.1695 0.049 0.0087 0.0511 general 0.1695 0.023 0.0040 0.0233 general 0.1695 0.075 0.0132 0.0777
OG0004605 general 0.2373 0.008 0.0016 0.0067 general 0.2373 0.012 0.0023 0.0096 general 0.2373 0.000 0.0000 0.0000
OG0004606 general 0.0605 0.010 0.0008 0.0124 general 0.0605 0.006 0.0004 0.0071 general 0.0605 0.019 0.0015 0.0242
OG0004607 general 0.2152 0.027 0.0048 0.0225 general 0.2152 0.003 0.0005 0.0024 general 0.2152 0.036 0.0064 0.0300
OG0004608 alternative 999.0000 0.000 0.0002 0.0000 alternative 0.3916 0.200 0.0513 0.1310 alternative 0.2870 0.010 0.0022 0.0078
OG0004609 general 0.3570 0.011 0.0025 0.0070 general 0.3570 0.033 0.0075 0.0211 general 0.3570 0.011 0.0025 0.0070
OG0004610 alternative 0.1673 0.017 0.0029 0.0172 alternative 0.4408 0.607 0.1609 0.3650 alternative 0.1968 0.041 0.0075 0.0380
OG0004612 general 0.2396 0.007 0.0013 0.0054 general 0.2396 0.003 0.0005 0.0023 general 0.2396 0.014 0.0026 0.0107
OG0004613 general 0.0555 0.001 0.0001 0.0024 general 0.0555 0.013 0.0012 0.0210 general 0.0555 0.026 0.0024 0.0440
OG0004616 general 0.0554 0.011 0.0010 0.0186 general 0.0554 0.011 0.0010 0.0184 general 0.0554 0.032 0.0030 0.0545
OG0004618 general 0.1497 0.011 0.0015 0.0099 general 0.1497 0.004 0.0005 0.0036 general 0.1497 0.027 0.0037 0.0246
OG0004619 general 0.2366 0.039 0.0072 0.0303 general 0.2366 0.002 0.0003 0.0014 general 0.2366 0.007 0.0013 0.0053
OG0004621 alternative 0.1418 0.022 0.0038 0.0264 alternative 0.0514 0.024 0.0020 0.0389 alternative 0.3061 0.019 0.0047 0.0155
OG0004622 general 0.0548 0.014 0.0015 0.0269 general 0.0548 0.021 0.0022 0.0404 general 0.0548 0.021 0.0023 0.0414
OG0004623 general 0.0498 0.018 0.0012 0.0241 general 0.0498 0.009 0.0006 0.0121 general 0.0498 0.010 0.0007 0.0139
OG0004625 general 0.0937 0.005 0.0007 0.0079 general 0.0937 0.001 0.0002 0.0022 general 0.0937 0.012 0.0019 0.0202
OG0004628 general 0.2313 0.020 0.0041 0.0179 general 0.2313 0.013 0.0027 0.0115 general 0.2313 0.029 0.0059 0.0254
OG0004629 general 0.1752 0.006 0.0010 0.0055 general 0.1752 0.011 0.0017 0.0098 general 0.1752 0.052 0.0078 0.0447
OG0004630 alternative 2.1538 0.003 0.0011 0.0005 alternative 0.0919 0.026 0.0037 0.0398 alternative 0.2357 0.272 0.0621 0.2636
OG0004631 general 0.1137 0.006 0.0007 0.0060 general 0.1137 0.007 0.0008 0.0068 general 0.1137 0.014 0.0016 0.0139
OG0004633 general 0.3094 0.019 0.0040 0.0129 general 0.3094 0.019 0.0042 0.0135 general 0.3094 0.047 0.0102 0.0329
OG0004634 general 0.0399 0.010 0.0005 0.0121 general 0.0399 0.013 0.0006 0.0157 general 0.0399 0.025 0.0012 0.0301
OG0004635 general 0.0200 0.009 0.0003 0.0158 general 0.0200 0.013 0.0004 0.0217 general 0.0200 0.040 0.0014 0.0684
OG0004637 general 0.0947 0.009 0.0011 0.0121 general 0.0947 0.015 0.0020 0.0208 general 0.0947 0.010 0.0013 0.0138
OG0004638 general 0.4382 0.025 0.0068 0.0154 general 0.4382 0.018 0.0049 0.0111 general 0.4382 0.031 0.0083 0.0189
OG0004639 general 0.0528 0.006 0.0005 0.0086 general 0.0528 0.006 0.0005 0.0085 general 0.0528 0.020 0.0015 0.0293
OG0004640 general 0.0822 0.008 0.0010 0.0127 general 0.0822 0.041 0.0054 0.0654 general 0.0822 0.043 0.0055 0.0672
OG0004641 general 0.0856 0.011 0.0011 0.0134 general 0.0856 0.000 0.0000 0.0000 general 0.0856 0.011 0.0011 0.0123
OG0004642 general 0.0230 0.001 0.0000 0.0016 general 0.0230 0.021 0.0006 0.0268 general 0.0230 0.037 0.0011 0.0468
OG0004643 general 0.1478 0.004 0.0005 0.0032 general 0.1478 0.010 0.0013 0.0086 general 0.1478 0.000 0.0000 0.0000
OG0004644 general 0.4338 0.023 0.0059 0.0135 general 0.4338 0.024 0.0062 0.0143 general 0.4338 0.047 0.0119 0.0274
OG0004645 general 0.2317 0.007 0.0012 0.0053 general 0.2317 0.006 0.0011 0.0048 general 0.2317 0.000 0.0000 0.0000
OG0004646 general 0.1581 0.000 0.0000 0.0000 general 0.1581 0.042 0.0071 0.0452 general 0.1581 3.302 0.5614 3.5513
OG0004647 alternative 0.1276 0.012 0.0016 0.0123 alternative 0.1032 0.011 0.0012 0.0118 alternative 0.0850 0.050 0.0047 0.0558
OG0004648 alternative 0.6187 0.062 0.0178 0.0288 alternative 1.6760 0.000 0.0000 0.0000 alternative 0.8129 0.281 0.0887 0.1091
OG0004649 general 0.2093 0.003 0.0006 0.0028 general 0.2093 0.008 0.0015 0.0071 general 0.2093 0.025 0.0048 0.0229
OG0004650 general 0.1284 0.009 0.0012 0.0096 general 0.1284 0.026 0.0037 0.0288 general 0.1284 0.023 0.0033 0.0254
OG0004651 general 0.1173 0.018 0.0023 0.0198 general 0.1173 0.004 0.0004 0.0038 general 0.1173 0.008 0.0011 0.0090
OG0004652 general 0.1589 0.011 0.0018 0.0116 general 0.1589 0.109 0.0181 0.1136 general 0.1589 0.036 0.0060 0.0378
OG0004653 alternative 0.0948 0.027 0.0032 0.0336 alternative 0.3273 0.180 0.0431 0.1316 alternative 0.0001 0.008 0.0000 0.0146
OG0004654 general 0.0815 0.026 0.0037 0.0459 general 0.0815 0.032 0.0047 0.0579 general 0.0815 0.023 0.0034 0.0411
OG0004656 general 0.3072 0.007 0.0015 0.0049 general 0.3072 0.000 0.0000 0.0000 general 0.3072 0.238 0.0519 0.1689
OG0004658 general 0.0557 0.004 0.0004 0.0068 general 0.0557 0.003 0.0003 0.0050 general 0.0557 0.008 0.0007 0.0125
OG0004659 general 0.0846 0.027 0.0025 0.0300 general 0.0846 0.068 0.0065 0.0765 general 0.0846 0.015 0.0014 0.0167
OG0004661 general 0.0993 0.006 0.0007 0.0075 general 0.0993 0.013 0.0016 0.0162 general 0.0993 0.034 0.0043 0.0429
OG0004662 alternative 0.3130 0.031 0.0076 0.0242 alternative 0.0001 0.007 0.0000 0.0141 alternative 0.0001 0.011 0.0000 0.0217
OG0004663 general 0.2522 0.036 0.0073 0.0289 general 0.2522 0.008 0.0016 0.0063 general 0.2522 0.029 0.0057 0.0227
OG0004664 general 0.0808 0.006 0.0005 0.0066 general 0.0808 0.016 0.0015 0.0189 general 0.0808 0.037 0.0035 0.0431
OG0004665 general 0.1464 0.009 0.0011 0.0078 general 0.1464 0.009 0.0012 0.0082 general 0.1464 0.035 0.0047 0.0318
OG0004666 general 0.1971 0.030 0.0055 0.0277 general 0.1971 0.015 0.0028 0.0142 general 0.1971 0.039 0.0070 0.0354
OG0004668 general 0.0668 0.006 0.0006 0.0086 general 0.0668 0.028 0.0026 0.0393 general 0.0668 0.011 0.0010 0.0152
OG0004669 alternative 0.1831 0.057 0.0087 0.0475 alternative 1.5698 0.027 0.0100 0.0064 alternative 0.1765 0.029 0.0043 0.0246
OG0004670 general 0.1641 0.008 0.0012 0.0075 general 0.1641 0.009 0.0014 0.0083 general 0.1641 0.000 0.0000 0.0000
OG0004671 alternative 0.2039 0.043 0.0080 0.0393 alternative 0.0574 0.016 0.0012 0.0215 alternative 0.1764 0.127 0.0220 0.1247
OG0004672 general 0.2884 0.011 0.0023 0.0079 general 0.2884 0.006 0.0012 0.0042 general 0.2884 0.031 0.0062 0.0214
OG0004673 general 0.0412 0.011 0.0008 0.0206 general 0.0412 0.021 0.0017 0.0406 general 0.0412 0.019 0.0015 0.0361
OG0004674 general 0.1796 0.000 0.0000 0.0000 general 0.1796 0.007 0.0011 0.0061 general 0.1796 0.040 0.0066 0.0367
OG0004675 general 0.4276 0.007 0.0019 0.0044 general 0.4276 0.007 0.0019 0.0045 general 0.4276 0.037 0.0095 0.0221
OG0004676 general 0.0980 0.000 0.0001 0.0006 general 0.0980 0.008 0.0013 0.0135 general 0.0980 0.022 0.0036 0.0365
OG0004678 general 0.2075 0.008 0.0014 0.0069 general 0.2075 0.005 0.0009 0.0045 general 0.2075 0.018 0.0031 0.0147
OG0004679 general 0.1836 0.009 0.0015 0.0080 general 0.1836 0.014 0.0022 0.0119 general 0.1836 0.021 0.0033 0.0179
OG0004681 general 0.1256 0.000 0.0000 0.0003 general 0.1256 0.010 0.0014 0.0112 general 0.1256 0.068 0.0091 0.0728
OG0004682 general 0.2661 0.015 0.0031 0.0116 general 0.2661 0.003 0.0007 0.0026 general 0.2661 0.068 0.0135 0.0508
OG0004683 alternative 0.1676 0.026 0.0040 0.0236 alternative 0.3816 0.069 0.0165 0.0432 alternative 0.1554 0.046 0.0067 0.0429
OG0004684 general 0.0676 0.012 0.0010 0.0154 general 0.0676 0.023 0.0019 0.0283 general 0.0676 0.066 0.0056 0.0828
OG0004685 alternative 0.4203 0.141 0.0373 0.0887 alternative 0.1908 0.013 0.0023 0.0123 alternative 0.3828 0.254 0.0648 0.1692
OG0004687 general 0.1564 0.006 0.0009 0.0060 general 0.1564 0.006 0.0009 0.0059 general 0.1564 0.002 0.0003 0.0016
OG0004688 alternative 0.1341 0.004 0.0005 0.0038 alternative 0.1521 0.004 0.0005 0.0033 alternative 0.3679 0.027 0.0061 0.0167
